table_name,table_comment,safe_candidate_count,total_columns_in_table,commented_columns_in_table,safe_candidate_ratio,review_priority,reason
stg_ycsjtysj_sxhyzssj_data_ship_info_df,图层管理（清洁船舶）KPI,6,11,11,54.5%,low,表注释清楚且字段注释明确
stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df,污染源_基本信息,36,47,47,76.6%,medium,safe_candidate 数量多(36字段)
stg_ycssthjj_lysthjjkyjpt_t_sjzx_szzdjcz_df,城市数字公共基础设施建设__水质自动监测站,11,12,12,91.7%,low,表注释清楚且字段注释明确
stg_ycssthjj_wryzxjkpt_t_zxjc_s_w_1_df,监控数据_日数据_污染物_,20,23,23,87.0%,low,表注释清楚且字段注释明确
wh_hydrological_records_1,水文数据表,1,11,11,9.1%,low,表注释清楚且字段注释明确
wh_meteorological_day_records,气象数据日记录表,3,42,42,7.1%,low,表注释清楚且字段注释明确
wh_meteorological_predict_day_records,气象预报日记录表,1,40,8,2.5%,low,表注释清楚且字段注释明确
wh_meteorological_predict_hour_records,气象预报小时记录表,1,41,8,2.4%,low,表注释清楚且字段注释明确
wh_meteorological_records_1,气象数据表,1,11,11,9.1%,low,表注释清楚且字段注释明确
wm_camera_info,摄像头基本信息表,6,16,16,37.5%,low,表注释清楚且字段注释明确
wm_camera_platform,视频平台设备信息表,12,21,20,57.1%,low,表注释清楚且字段注释明确
wm_directory,目录树实体,1,10,10,10.0%,low,表注释清楚且字段注释明确
wm_hydrological_info,水位站基本信息表,18,40,37,45.0%,low,表注释清楚且字段注释明确
wm_image_info,档案图片信息表：用于保存各种站点、断面、污染源的图片信息,5,12,11,41.7%,low,表注释清楚且字段注释明确
wm_meteorological_info,气象自动监测站基本信息表,19,40,37,47.5%,low,表注释清楚且字段注释明确
wm_panorama_layer,全景图层信息表,5,11,11,45.5%,low,表注释清楚且字段注释明确
wm_panorama_layer_relation,全景图层关联关系表,2,7,7,28.6%,low,表注释清楚且字段注释明确
wm_panorama_video,全景视频信息表,2,9,9,22.2%,low,表注释清楚且字段注释明确
wm_raster_info,,9,14,13,64.3%,medium,表级注释缺失
wm_raster_inversion,,10,18,17,55.6%,high,表级注释缺失
wm_section_info,断面基本信息表,15,26,26,57.7%,low,表注释清楚且字段注释明确
wm_section_wq_info,断面水质目标信息表,3,10,10,30.0%,low,表注释清楚且字段注释明确
wm_station_info,水质自动监测站基本信息表,23,47,44,48.9%,low,表注释清楚且字段注释明确
wm_station_info_v2,自动站管理,12,31,27,38.7%,low,表注释清楚且字段注释明确
wm_uav_info,大疆无人机基础信息,29,39,38,74.4%,low,表注释清楚且字段注释明确
wm_water_intake,水源地-取水口,2,14,12,14.3%,low,表注释清楚且字段注释明确
wm_water_source,水源地信息：通过code码关联,24,36,34,66.7%,low,表注释清楚且字段注释明确
wm_water_source_bak0421,水源地信息：通过code码关联,52,61,60,85.2%,medium,safe_candidate 数量多(52字段)
wm_water_source_intake_v2,饮用水水源地管理及监测-取水口,9,22,16,40.9%,low,表注释清楚且字段注释明确
wm_water_source_zone_v2,饮用水水源地管理及监测-保护区,4,19,12,21.1%,low,表注释清楚且字段注释明确
wm_waterbody_info,水体信息实体类,5,27,18,18.5%,low,表注释清楚且字段注释明确
wm_waterquality_day_records,水质监测日记录表,9,73,71,12.3%,low,表注释清楚且字段注释明确
wm_waterquality_hour_records,水质监测小时记录表,18,82,82,22.0%,low,表注释清楚且字段注释明确
wm_waterquality_month_records,水质监测月记录表,13,77,77,16.9%,low,表注释清楚且字段注释明确
wm_waterquality_year_records,水质监测年记录表,10,71,71,14.1%,low,表注释清楚且字段注释明确
wst_asset,水安全溯源模块-统一资产表，存储断面、站点、排口、企业、园区、闸坝、管线、摄像头、事故池等可上图、可查询、可关联对象,11,26,26,42.3%,low,表注释清楚且字段注释明确
wst_asset_relation,资产关系实例表，存储资产与资产之间的一度业务关系，不代表水流路径,4,11,11,36.4%,low,表注释清楚且字段注释明确
wst_asset_trace_snap,水安全溯源模块-资产拓扑挂接表，用于维护业务资产与溯源拓扑节点之间的挂接关系，是资产进入 pgRouting 网络计算的桥梁,18,27,23,66.7%,low,表注释清楚且字段注释明确
wst_asset_type_dict,水安全溯源模块-资产类型字典表，用于统一管理资产类型、图层、图标、几何类型和前端展示规则,10,22,18,45.5%,low,表注释清楚且字段注释明确
wst_control_zone,水安全溯源模块-三级分区表，用于管理国控断面控制单元、自动站分区、工业园区/分水岭分区,9,19,19,47.4%,low,表注释清楚且字段注释明确
wst_layer_river,,2,12,2,16.7%,medium,表级注释缺失
wst_relation_subtype_dict,关系子类字典表，维护具体业务关系类型、标准方向和允许资产类型,14,19,19,73.7%,low,表注释清楚且字段注释明确
wst_relation_type_dict,关系大类字典表，用于维护资产关系的大类编码,4,8,8,50.0%,low,表注释清楚且字段注释明确
wst_trace_edge,水安全溯源模块-溯源拓扑边表，用于存储河网、管网、排水路径、园区内外衔接路径，是 pgRouting 上下游分析的核心边表,22,36,32,61.1%,low,表注释清楚且字段注释明确
wst_trace_node,水安全溯源模块-溯源拓扑节点表，用于存储河网、管网、园区排污河流、排口挂接点、断面挂接点、园区出口等 pgRouting 节点,12,25,24,48.0%,low,表注释清楚且字段注释明确
wst_trace_topology_issue,,5,18,5,27.8%,medium,表级注释缺失
wt_service_directory,主键id,12,25,25,48.0%,low,表注释清楚且字段注释明确
wt_warnparm_config,监测预警参数配置表,9,21,21,42.9%,low,表注释清楚且字段注释明确
