schema_name,table_name,column_name,data_type,candidate_comment,suggested_decision,human_decision,review_note
public,_stg_yichang_river_std,next_down,bigint,下游河流ID,suggest_approve,,标准化河流表字段，与 wst_layer_river 语义一致
public,_stg_yichang_river_std,river_class,text,河流类别,suggest_approve,,标准化河流表字段，与 wst_layer_river 语义一致
public,_stg_yichang_river_std,length_km,numeric,河流长度（公里）,suggest_approve,,标准化河流表字段，与 wst_layer_river 语义一致
public,_stg_yichang_river_std,from_z,numeric,起点高程,suggest_approve,,标准化河流表字段，与 wst_layer_river 语义一致
public,_stg_yichang_river_std,to_z,numeric,终点高程,suggest_approve,,标准化河流表字段，与 wst_layer_river 语义一致
public,_stg_yichang_river_std,metadata_json,jsonb,元数据JSON,suggest_hold,,标准化表字段，需确认
public,day_quality_setting,span_value,double precision,水质变化幅值,suggest_hold,,水质质量设置参数，需业务确认
public,gis_ecologicalregion,service_target,character varying(255),生态服务目标,suggest_approve,,生态红线区域标准字段，英文含义明确
public,gis_ecologicalregion,area,double precision,面积,suggest_hold,,中置信度通用字段，建议抽查后批量确认
public,gis_ecologicalregion,ecosystem_vegetation,character varying(255),生态系统植被概况,suggest_approve,,生态红线区域标准字段，英文含义明确
public,gis_ecologicalregion,human_activities,character varying(255),人类活动影响描述,suggest_approve,,生态红线区域标准字段，英文含义明确
public,gis_ecologicalregion,environment_problems,character varying(255),生态环境问题描述,suggest_approve,,生态红线区域标准字段，英文含义明确
public,gis_ecologicalregion,control_measures,character varying(255),管控措施描述,suggest_approve,,生态红线区域标准字段，英文含义明确
public,gis_headwaters,water_intake_quantity,double precision,年取水量,suggest_approve,,水源地字段，英文含义明确
public,gis_headwaters,water_supply_population,bigint,供水人口数,suggest_approve,,水源地字段，英文含义明确
public,gis_headwaters,is_protect_region,character(1),是否在保护区范围内,suggest_approve,,水源地字段，英文含义明确
public,gis_naturereserve,department,character varying(100),主管部门,suggest_approve,,自然保护区标准字段，英文→中文映射明确（如 first_protect_animals=国家一级保护动物）
public,gis_naturereserve,protect_target,character varying(255),主要保护对象,suggest_approve,,自然保护区标准字段，英文→中文映射明确（如 first_protect_animals=国家一级保护动物）
public,gis_naturereserve,total_area,double precision,总面积,suggest_hold,,中置信度通用字段，建议抽查后批量确认
public,gis_naturereserve,core_area,double precision,核心区面积,suggest_hold,,中置信度通用字段，建议抽查后批量确认
public,gis_naturereserve,buffer_area,double precision,缓冲区面积,suggest_hold,,中置信度通用字段，建议抽查后批量确认
public,gis_naturereserve,manage_org_name,character varying(100),管理机构名称,suggest_approve,,自然保护区标准字段，英文→中文映射明确（如 first_protect_animals=国家一级保护动物）
public,gis_naturereserve,manage_org_type,character varying(8),管理机构类型,suggest_approve,,自然保护区标准字段，英文→中文映射明确（如 first_protect_animals=国家一级保护动物）
public,gis_naturereserve,manage_org_level,character varying(8),管理机构级别,suggest_approve,,自然保护区标准字段，英文→中文映射明确（如 first_protect_animals=国家一级保护动物）
public,gis_naturereserve,first_protect_animals,character varying(255),国家一级保护动物,suggest_approve,,自然保护区标准字段，英文→中文映射明确（如 first_protect_animals=国家一级保护动物）
public,gis_naturereserve,second_protect_animals,character varying(255),国家二级保护动物,suggest_approve,,自然保护区标准字段，英文→中文映射明确（如 first_protect_animals=国家一级保护动物）
public,gis_naturereserve,first_protect_plants,character varying(255),国家一级保护植物,suggest_approve,,自然保护区标准字段，英文→中文映射明确（如 first_protect_animals=国家一级保护动物）
public,gis_naturereserve,second_protect_plants,character varying(255),国家二级保护植物,suggest_approve,,自然保护区标准字段，英文→中文映射明确（如 first_protect_animals=国家一级保护动物）
public,gis_region,region_level,character varying(4),区划级别,suggest_approve,,行政区划标准字段
public,gis_region,parent_code,character varying(60),父级区划编码,suggest_approve,,行政区划标准字段
public,gis_region_population,city_population,double precision,城镇人口,suggest_approve,,人口统计标准字段（城镇/农村人口、面积、数量）
public,gis_region_population,city_area,double precision,城镇面积,suggest_approve,,人口统计标准字段（城镇/农村人口、面积、数量）
public,gis_region_population,city_quantity,double precision,城镇数量,suggest_approve,,人口统计标准字段（城镇/农村人口、面积、数量）
public,gis_region_population,rural_population,double precision,农村人口,suggest_approve,,人口统计标准字段（城镇/农村人口、面积、数量）
public,gis_region_population,rural_area,double precision,农村面积,suggest_approve,,人口统计标准字段（城镇/农村人口、面积、数量）
public,gis_region_population,rural_quantity,double precision,农村数量,suggest_approve,,人口统计标准字段（城镇/农村人口、面积、数量）
public,gis_watershed_partition_4,poly_area,double precision,多边形面积,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,cc,character varying(8),行政区划编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,gb,character varying(16),国标编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,bas,character varying(16),流域编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,period,character varying(16),时期/阶段,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,wq,character varying(8),水质类别,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,aheight,double precision,坝高,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,parea,double precision,永久占地面积,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,ec,character varying(16),生态分区编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,grade,character varying(8),等级/级别,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,mheight,double precision,最大坝高,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,sdtf,character varying(4),水系特征码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,shrc,character varying(64),所属河湖编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,vol,double precision,库容,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,featid,character varying(16),要素唯一标识,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,elemstime,character varying(8),要素起始时间,suggest_hold,,字段缩写含义不够明确（elemstime），需业务确认
public,layer_reservoir_provincial,elemetime,character varying(8),要素终止时间,suggest_hold,,字段缩写含义不够明确（elemetime），需业务确认
public,layer_reservoir_provincial,ecrm,integer,生态红线管理编号,suggest_hold,,字段缩写含义不够明确（ecrm），需业务确认
public,layer_reservoir_provincial,wrid,character varying(16),水资区划ID,suggest_hold,,字段缩写含义不够明确（wrid），需业务确认
public,layer_reservoir_provincial,wrgr,integer,水资区划分组,suggest_hold,,字段缩写含义不够明确（wrgr），需业务确认
public,layer_reservoir_provincial,areacode,bigint,行政区划代码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,changetype,integer,变更类型,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,changeatt,character varying(64),变更属性,suggest_hold,,中置信度通用字段，建议抽查后批量确认
public,layer_reservoir_provincial,shape_leng,double precision,要素长度,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial,shape_area,double precision,要素面积,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,cc,character varying(8),行政区划编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,gb,character varying(16),国标编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,bas,character varying(16),流域编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,period,character varying(16),时期/阶段,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,wq,character varying(8),水质类别,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,aheight,double precision,坝高,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,parea,double precision,永久占地面积,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,ec,character varying(16),生态分区编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,grade,character varying(8),等级/级别,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,mheight,double precision,最大坝高,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,sdtf,character varying(4),水系特征码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,shrc,character varying(64),所属河湖编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,vol,double precision,库容,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,featid,character varying(16),要素唯一标识,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,elemstime,character varying(8),要素起始时间,suggest_hold,,字段缩写含义不够明确（elemstime），需业务确认
public,layer_reservoir_provincial_label,elemetime,character varying(8),要素终止时间,suggest_hold,,字段缩写含义不够明确（elemetime），需业务确认
public,layer_reservoir_provincial_label,ecrm,integer,生态红线管理编号,suggest_hold,,字段缩写含义不够明确（ecrm），需业务确认
public,layer_reservoir_provincial_label,wrid,character varying(16),水资区划ID,suggest_hold,,字段缩写含义不够明确（wrid），需业务确认
public,layer_reservoir_provincial_label,wrgr,integer,水资区划分组,suggest_hold,,字段缩写含义不够明确（wrgr），需业务确认
public,layer_reservoir_provincial_label,areacode,bigint,行政区划代码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,changetype,integer,变更类型,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_label,changeatt,character varying(64),变更属性,suggest_hold,,中置信度通用字段，建议抽查后批量确认
public,layer_reservoir_provincial_合并,cc,character varying(8),行政区划编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,gb,character varying(16),国标编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,bas,character varying(16),流域编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,period,character varying(16),时期/阶段,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,wq,character varying(8),水质类别,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,aheight,double precision,坝高,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,parea,double precision,永久占地面积,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,ec,character varying(16),生态分区编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,grade,character varying(8),等级/级别,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,mheight,double precision,最大坝高,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,sdtf,character varying(4),水系特征码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,shrc,character varying(64),所属河湖编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,vol,double precision,库容,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,featid,character varying(16),要素唯一标识,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,elemstime,character varying(8),要素起始时间,suggest_hold,,字段缩写含义不够明确（elemstime），需业务确认
public,layer_reservoir_provincial_合并,elemetime,character varying(8),要素终止时间,suggest_hold,,字段缩写含义不够明确（elemetime），需业务确认
public,layer_reservoir_provincial_合并,ecrm,integer,生态红线管理编号,suggest_hold,,字段缩写含义不够明确（ecrm），需业务确认
public,layer_reservoir_provincial_合并,wrid,character varying(16),水资区划ID,suggest_hold,,字段缩写含义不够明确（wrid），需业务确认
public,layer_reservoir_provincial_合并,wrgr,integer,水资区划分组,suggest_hold,,字段缩写含义不够明确（wrgr），需业务确认
public,layer_reservoir_provincial_合并,areacode,bigint,行政区划代码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,changetype,integer,变更类型,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_reservoir_provincial_合并,changeatt,character varying(64),变更属性,suggest_hold,,中置信度通用字段，建议抽查后批量确认
public,layer_river_provincial,cc,character varying(8),行政区划编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,gb,character varying(16),国标编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,bas,character varying(16),流域编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,ec,character varying(16),生态分区编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,grade,character varying(8),等级/级别,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,period,character varying(16),时期/阶段,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,shrc,character varying(64),所属河湖编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,sdtf,character varying(4),水系特征码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,featid,character varying(16),要素唯一标识,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,elemstime,character varying(8),要素起始时间,suggest_hold,,字段缩写含义不够明确（elemstime），需业务确认
public,layer_river_provincial,elemetime,character varying(8),要素终止时间,suggest_hold,,字段缩写含义不够明确（elemetime），需业务确认
public,layer_river_provincial,ecrm,integer,生态红线管理编号,suggest_hold,,字段缩写含义不够明确（ecrm），需业务确认
public,layer_river_provincial,wrid,character varying(16),水资区划ID,suggest_hold,,字段缩写含义不够明确（wrid），需业务确认
public,layer_river_provincial,wrgr,integer,水资区划分组,suggest_hold,,字段缩写含义不够明确（wrgr），需业务确认
public,layer_river_provincial,areacode,bigint,行政区划代码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,changetype,integer,变更类型,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial,changeatt,character varying(64),变更属性,suggest_hold,,中置信度通用字段，建议抽查后批量确认
public,layer_river_provincial_bak0617,cc,character varying(8),行政区划编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,gb,character varying(16),国标编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,bas,character varying(16),流域编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,ec,character varying(16),生态分区编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,grade,character varying(8),等级/级别,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,period,character varying(16),时期/阶段,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,shrc,character varying(64),所属河湖编码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,sdtf,character varying(4),水系特征码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,featid,character varying(16),要素唯一标识,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,elemstime,character varying(8),要素起始时间,suggest_hold,,字段缩写含义不够明确（elemstime），需业务确认
public,layer_river_provincial_bak0617,elemetime,character varying(8),要素终止时间,suggest_hold,,字段缩写含义不够明确（elemetime），需业务确认
public,layer_river_provincial_bak0617,ecrm,integer,生态红线管理编号,suggest_hold,,字段缩写含义不够明确（ecrm），需业务确认
public,layer_river_provincial_bak0617,wrid,character varying(16),水资区划ID,suggest_hold,,字段缩写含义不够明确（wrid），需业务确认
public,layer_river_provincial_bak0617,wrgr,integer,水资区划分组,suggest_hold,,字段缩写含义不够明确（wrgr），需业务确认
public,layer_river_provincial_bak0617,areacode,bigint,行政区划代码,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,changetype,integer,变更类型,suggest_approve,,"GIS标准缩写字段（如cc=行政区划编码, gb=国标编码等），跨表一致"
public,layer_river_provincial_bak0617,changeatt,character varying(64),变更属性,suggest_hold,,中置信度通用字段，建议抽查后批量确认
public,metadata_view,aliasname,character varying(255),别名,suggest_approve,,元数据视图标准字段，含义明确
public,metadata_view,LayerName,character varying(255),图层名称,suggest_approve,,元数据视图标准字段，含义明确
public,metadata_view,LayerType,character varying(255),图层类型,suggest_approve,,元数据视图标准字段，含义明确
public,rs_outlet,quick_detect_desc,character varying(255),快速检测描述,suggest_hold,,需确认快速检测描述字段含义
public,stg_ycsjtysj_sxhyzssj_base_ship_df,mmsi,character varying(500),"('海上移动通信业务标识（MMSI）', 'B_review')",suggest_reject,,候选注释为Python元组格式，疑似生成bug，需重新生成
public,wh_meteorological_predict_day_records,winddirect_10m_24h,double precision,10米风向（24小时平均）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,winddirect8_10m_24h,character varying(16),10米8方位风向（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,winddirect16_10m_24h,character varying(16),10米16方位风向（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,hum_2m_24h,double precision,2米湿度（24小时平均）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,hum_2m_24h_min,double precision,2米湿度最小值（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,hum_2m_24h_max,double precision,2米湿度最大值（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,stapress_24h,double precision,地面气压（24小时平均）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,pressure_24h,double precision,海平面气压（24小时平均）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,p850inver_24h,double precision,850hPa逆温层高度（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,p925inver_24h,double precision,925hPa逆温层高度（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,swdown_24h,double precision,短波辐射通量（24小时平均）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,glw_24h,double precision,长波辐射通量（24小时平均）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,height_24h,double precision,边界层高度（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,rain_24h_total,double precision,24小时总降雨量,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,dewpoint_24h,double precision,露点温度（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,lowcloud_24h,double precision,低云量（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,midcloud_24h,double precision,中云量（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,highcloud_24h,double precision,高云量（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,totalcloud_24h,double precision,总云量（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,tem_2m_24h,double precision,2米温度（24小时平均）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,tem_2m_24h_min,double precision,2米温度最小值（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,tem_2m_24h_max,double precision,2米温度最大值（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,visib_24h,double precision,能见度（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,pbl_24h,double precision,行星边界层高度（24小时平均）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,pbl_24h_min,double precision,行星边界层高度最小值（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
public,wh_meteorological_predict_day_records,pbl_24h_max,double precision,行星边界层高度最大值（24小时）,suggest_approve,,气象预测物理量字段，字段名精确映射到标准气象变量，注释质量高
