table_name,column_name,candidate_comment,actual_db_comment,object_exists,comment_matches,verify_status,note
layer_reservoir_provincial,aheight,坝高,坝高,True,True,OK,
layer_reservoir_provincial,parea,永久占地面积,永久占地面积,True,True,OK,
layer_reservoir_provincial,ec,生态分区编码,生态分区编码,True,True,OK,
layer_reservoir_provincial,grade,等级/级别,等级/级别,True,True,OK,
layer_reservoir_provincial,mheight,最大坝高,最大坝高,True,True,OK,
layer_reservoir_provincial,sdtf,水系特征码,水系特征码,True,True,OK,
layer_reservoir_provincial,shrc,所属河湖编码,所属河湖编码,True,True,OK,
layer_reservoir_provincial,vol,库容,库容,True,True,OK,
layer_reservoir_provincial,featid,要素唯一标识,要素唯一标识,True,True,OK,
layer_reservoir_provincial,areacode,行政区划代码,行政区划代码,True,True,OK,
layer_reservoir_provincial,changetype,变更类型,变更类型,True,True,OK,
layer_reservoir_provincial,shape_leng,要素长度,要素长度,True,True,OK,
layer_reservoir_provincial,shape_area,要素面积,要素面积,True,True,OK,
layer_reservoir_provincial_label,cc,行政区划编码,行政区划编码,True,True,OK,
layer_reservoir_provincial_label,gb,国标编码,国标编码,True,True,OK,
layer_reservoir_provincial_label,bas,流域编码,流域编码,True,True,OK,
layer_reservoir_provincial_label,period,时期/阶段,时期/阶段,True,True,OK,
layer_reservoir_provincial_label,wq,水质类别,水质类别,True,True,OK,
layer_reservoir_provincial_label,aheight,坝高,坝高,True,True,OK,
layer_reservoir_provincial_label,parea,永久占地面积,永久占地面积,True,True,OK,
layer_reservoir_provincial_label,ec,生态分区编码,生态分区编码,True,True,OK,
layer_reservoir_provincial_label,grade,等级/级别,等级/级别,True,True,OK,
layer_reservoir_provincial_label,mheight,最大坝高,最大坝高,True,True,OK,
layer_reservoir_provincial_label,sdtf,水系特征码,水系特征码,True,True,OK,
layer_reservoir_provincial_label,shrc,所属河湖编码,所属河湖编码,True,True,OK,
layer_reservoir_provincial_label,vol,库容,库容,True,True,OK,
layer_reservoir_provincial_label,featid,要素唯一标识,要素唯一标识,True,True,OK,
layer_reservoir_provincial_label,areacode,行政区划代码,行政区划代码,True,True,OK,
layer_reservoir_provincial_label,changetype,变更类型,变更类型,True,True,OK,
layer_reservoir_provincial_合并,cc,行政区划编码,行政区划编码,True,True,OK,
layer_reservoir_provincial_合并,gb,国标编码,国标编码,True,True,OK,
layer_reservoir_provincial_合并,bas,流域编码,流域编码,True,True,OK,
layer_reservoir_provincial_合并,period,时期/阶段,时期/阶段,True,True,OK,
layer_reservoir_provincial_合并,wq,水质类别,水质类别,True,True,OK,
layer_reservoir_provincial_合并,aheight,坝高,坝高,True,True,OK,
layer_reservoir_provincial_合并,parea,永久占地面积,永久占地面积,True,True,OK,
layer_reservoir_provincial_合并,ec,生态分区编码,生态分区编码,True,True,OK,
layer_reservoir_provincial_合并,grade,等级/级别,等级/级别,True,True,OK,
layer_reservoir_provincial_合并,mheight,最大坝高,最大坝高,True,True,OK,
layer_reservoir_provincial_合并,sdtf,水系特征码,水系特征码,True,True,OK,
layer_reservoir_provincial_合并,shrc,所属河湖编码,所属河湖编码,True,True,OK,
layer_reservoir_provincial_合并,vol,库容,库容,True,True,OK,
layer_reservoir_provincial_合并,featid,要素唯一标识,要素唯一标识,True,True,OK,
layer_reservoir_provincial_合并,areacode,行政区划代码,行政区划代码,True,True,OK,
layer_reservoir_provincial_合并,changetype,变更类型,变更类型,True,True,OK,
layer_river_provincial,cc,行政区划编码,行政区划编码,True,True,OK,
layer_river_provincial,gb,国标编码,国标编码,True,True,OK,
layer_river_provincial,bas,流域编码,流域编码,True,True,OK,
layer_river_provincial,ec,生态分区编码,生态分区编码,True,True,OK,
layer_river_provincial,grade,等级/级别,等级/级别,True,True,OK,
layer_river_provincial,period,时期/阶段,时期/阶段,True,True,OK,
layer_river_provincial,shrc,所属河湖编码,所属河湖编码,True,True,OK,
layer_river_provincial,sdtf,水系特征码,水系特征码,True,True,OK,
layer_river_provincial,featid,要素唯一标识,要素唯一标识,True,True,OK,
layer_river_provincial,areacode,行政区划代码,行政区划代码,True,True,OK,
layer_river_provincial,changetype,变更类型,变更类型,True,True,OK,
layer_river_provincial_bak0617,cc,行政区划编码,行政区划编码,True,True,OK,
layer_river_provincial_bak0617,gb,国标编码,国标编码,True,True,OK,
layer_river_provincial_bak0617,bas,流域编码,流域编码,True,True,OK,
layer_river_provincial_bak0617,ec,生态分区编码,生态分区编码,True,True,OK,
layer_river_provincial_bak0617,grade,等级/级别,等级/级别,True,True,OK,
layer_river_provincial_bak0617,period,时期/阶段,时期/阶段,True,True,OK,
layer_river_provincial_bak0617,shrc,所属河湖编码,所属河湖编码,True,True,OK,
layer_river_provincial_bak0617,sdtf,水系特征码,水系特征码,True,True,OK,
layer_river_provincial_bak0617,featid,要素唯一标识,要素唯一标识,True,True,OK,
layer_river_provincial_bak0617,areacode,行政区划代码,行政区划代码,True,True,OK,
layer_river_provincial_bak0617,changetype,变更类型,变更类型,True,True,OK,
metadata_view,aliasname,别名,别名,True,True,OK,
metadata_view,LayerName,图层名称,图层名称,True,True,OK,
metadata_view,LayerType,图层类型,图层类型,True,True,OK,
wh_meteorological_predict_day_records,winddirect_10m_24h,10米风向（24小时平均）,10米风向（24小时平均）,True,True,OK,
wh_meteorological_predict_day_records,winddirect8_10m_24h,10米8方位风向（24小时）,10米8方位风向（24小时）,True,True,OK,
wh_meteorological_predict_day_records,winddirect16_10m_24h,10米16方位风向（24小时）,10米16方位风向（24小时）,True,True,OK,
wh_meteorological_predict_day_records,hum_2m_24h,2米湿度（24小时平均）,2米湿度（24小时平均）,True,True,OK,
wh_meteorological_predict_day_records,hum_2m_24h_min,2米湿度最小值（24小时）,2米湿度最小值（24小时）,True,True,OK,
wh_meteorological_predict_day_records,hum_2m_24h_max,2米湿度最大值（24小时）,2米湿度最大值（24小时）,True,True,OK,
wh_meteorological_predict_day_records,stapress_24h,地面气压（24小时平均）,地面气压（24小时平均）,True,True,OK,
wh_meteorological_predict_day_records,pressure_24h,海平面气压（24小时平均）,海平面气压（24小时平均）,True,True,OK,
wh_meteorological_predict_day_records,p850inver_24h,850hPa逆温层高度（24小时）,850hPa逆温层高度（24小时）,True,True,OK,
wh_meteorological_predict_day_records,p925inver_24h,925hPa逆温层高度（24小时）,925hPa逆温层高度（24小时）,True,True,OK,
wh_meteorological_predict_day_records,swdown_24h,短波辐射通量（24小时平均）,短波辐射通量（24小时平均）,True,True,OK,
wh_meteorological_predict_day_records,glw_24h,长波辐射通量（24小时平均）,长波辐射通量（24小时平均）,True,True,OK,
wh_meteorological_predict_day_records,height_24h,边界层高度（24小时）,边界层高度（24小时）,True,True,OK,
wh_meteorological_predict_day_records,rain_24h_total,24小时总降雨量,24小时总降雨量,True,True,OK,
wh_meteorological_predict_day_records,dewpoint_24h,露点温度（24小时）,露点温度（24小时）,True,True,OK,
wh_meteorological_predict_day_records,lowcloud_24h,低云量（24小时）,低云量（24小时）,True,True,OK,
wh_meteorological_predict_day_records,midcloud_24h,中云量（24小时）,中云量（24小时）,True,True,OK,
wh_meteorological_predict_day_records,highcloud_24h,高云量（24小时）,高云量（24小时）,True,True,OK,
wh_meteorological_predict_day_records,totalcloud_24h,总云量（24小时）,总云量（24小时）,True,True,OK,
wh_meteorological_predict_day_records,tem_2m_24h,2米温度（24小时平均）,2米温度（24小时平均）,True,True,OK,
wh_meteorological_predict_day_records,tem_2m_24h_min,2米温度最小值（24小时）,2米温度最小值（24小时）,True,True,OK,
wh_meteorological_predict_day_records,tem_2m_24h_max,2米温度最大值（24小时）,2米温度最大值（24小时）,True,True,OK,
wh_meteorological_predict_day_records,visib_24h,能见度（24小时）,能见度（24小时）,True,True,OK,
wh_meteorological_predict_day_records,pbl_24h,行星边界层高度（24小时平均）,行星边界层高度（24小时平均）,True,True,OK,
wh_meteorological_predict_day_records,pbl_24h_min,行星边界层高度最小值（24小时）,行星边界层高度最小值（24小时）,True,True,OK,
wh_meteorological_predict_day_records,pbl_24h_max,行星边界层高度最大值（24小时）,行星边界层高度最大值（24小时）,True,True,OK,
wh_meteorological_predict_day_records,windspeed_10m_24h,10米风速（24小时平均）,10米风速（24小时平均）,True,True,OK,
wh_meteorological_predict_day_records,windspeed_10m_24h_min,10米风速最小值（24小时）,10米风速最小值（24小时）,True,True,OK,
wh_meteorological_predict_day_records,windspeed_10m_24h_max,10米风速最大值（24小时）,10米风速最大值（24小时）,True,True,OK,
wh_meteorological_predict_hour_records,winddirect_10m_1h,10米风向（小时）,10米风向（小时）,True,True,OK,
wh_meteorological_predict_hour_records,winddirect8_10m_1h,10米8方位风向（小时）,10米8方位风向（小时）,True,True,OK,
wh_meteorological_predict_hour_records,winddirect16_10m_1h,10米16方位风向（小时）,10米16方位风向（小时）,True,True,OK,
wh_meteorological_predict_hour_records,windspeed_10m_1h,10米风速（小时）,10米风速（小时）,True,True,OK,
wh_meteorological_predict_hour_records,tem_2m_1h,2米温度（小时）,2米温度（小时）,True,True,OK,
wh_meteorological_predict_hour_records,hum_2m_1h,2米湿度（小时）,2米湿度（小时）,True,True,OK,
wh_meteorological_predict_hour_records,dewpoint_1h,露点温度（小时）,露点温度（小时）,True,True,OK,
wh_meteorological_predict_hour_records,dtem_2m_1h,2米温度1小时变化,2米温度1小时变化,True,True,OK,
wh_meteorological_predict_hour_records,dtem_2m_3h,2米温度3小时变化,2米温度3小时变化,True,True,OK,
wh_meteorological_predict_hour_records,dtem_2m_6h,2米温度6小时变化,2米温度6小时变化,True,True,OK,
wh_meteorological_predict_hour_records,dtem_2m_12h,2米温度12小时变化,2米温度12小时变化,True,True,OK,
wh_meteorological_predict_hour_records,dtem_2m_24h,2米温度24小时变化,2米温度24小时变化,True,True,OK,
wh_meteorological_predict_hour_records,rain_1h,小时降雨量,小时降雨量,True,True,OK,
wh_meteorological_predict_hour_records,rain_3h,3小时累计降雨量,3小时累计降雨量,True,True,OK,
wh_meteorological_predict_hour_records,rain_6h,6小时累计降雨量,6小时累计降雨量,True,True,OK,
wh_meteorological_predict_hour_records,rain_12h,12小时累计降雨量,12小时累计降雨量,True,True,OK,
wh_meteorological_predict_hour_records,rain_24h,24小时累计降雨量,24小时累计降雨量,True,True,OK,
wh_meteorological_predict_hour_records,lowcloud_1h,低云量（小时）,低云量（小时）,True,True,OK,
wh_meteorological_predict_hour_records,midcloud_1h,中云量（小时）,中云量（小时）,True,True,OK,
wh_meteorological_predict_hour_records,highcloud_1h,高云量（小时）,高云量（小时）,True,True,OK,
wh_meteorological_predict_hour_records,totalcloud_1h,总云量（小时）,总云量（小时）,True,True,OK,
wh_meteorological_predict_hour_records,pbl_1h,行星边界层高度（小时）,行星边界层高度（小时）,True,True,OK,
wh_meteorological_predict_hour_records,height_1h,边界层高度（小时）,边界层高度（小时）,True,True,OK,
wh_meteorological_predict_hour_records,pressure_1h,海平面气压（小时）,海平面气压（小时）,True,True,OK,
wh_meteorological_predict_hour_records,stapress_1h,地面气压（小时）,地面气压（小时）,True,True,OK,
wh_meteorological_predict_hour_records,glw_1h,长波辐射通量（小时）,长波辐射通量（小时）,True,True,OK,
wh_meteorological_predict_hour_records,swdown_1h,短波辐射通量（小时）,短波辐射通量（小时）,True,True,OK,
wh_meteorological_predict_hour_records,p850inver_1h,850hPa逆温层高度（小时）,850hPa逆温层高度（小时）,True,True,OK,
wh_meteorological_predict_hour_records,p925inver_1h,925hPa逆温层高度（小时）,925hPa逆温层高度（小时）,True,True,OK,
wh_meteorological_predict_hour_records,visib_1h,能见度（小时）,能见度（小时）,True,True,OK,
wm_hydrological_info,last_maintenance_time,最近维护时间,最近维护时间,True,True,OK,
wm_meteorological_info,last_maintenance_time,最近维护时间,最近维护时间,True,True,OK,
wm_raster_inversion_config,type_code,反演类型编码,反演类型编码,True,True,OK,
wm_station_info,last_maintenance_time,最近维护时间,最近维护时间,True,True,OK,
wm_waterbody_info,water_body_function,水体功能类别,水体功能类别,True,True,OK,
wm_waterbody_info,basin,所在流域,所在流域,True,True,OK,
wm_waterbody_info,start_village,起点村/社区,起点村/社区,True,True,OK,
wm_waterbody_info,end_village,终点村/社区,终点村/社区,True,True,OK,
wm_waterbody_info,up_stream,上游水体,上游水体,True,True,OK,
wm_waterbody_info,down_stream,下游水体,下游水体,True,True,OK,
wst_asset_trace_snap,snap_distance_m,吸附距离（米）,吸附距离（米）,True,True,OK,
wst_asset_type_dict,asset_group,资产分组编码,资产分组编码,True,True,OK,
wst_asset_type_dict,asset_group_name,资产分组名称,资产分组名称,True,True,OK,
wst_asset_type_dict,group_sort,分组排序号,分组排序号,True,True,OK,
wst_asset_type_dict,group_description,分组描述,分组描述,True,True,OK,
wst_layer_river,next_down,下游河流ID,下游河流ID,True,True,OK,
wst_layer_river,river_class,河流类别,河流类别,True,True,OK,
wst_layer_river,length_km,河流长度（公里）,河流长度（公里）,True,True,OK,
wst_layer_river,from_z,起点高程,起点高程,True,True,OK,
wst_layer_river,to_z,终点高程,终点高程,True,True,OK,
wst_trace_edge,direction_status,流向状态,流向状态,True,True,OK,
wst_trace_topology_issue,issue_type,问题类型,问题类型,True,True,OK,
wst_trace_topology_issue,issue_name,问题名称,问题名称,True,True,OK,
wst_trace_topology_issue,issue_level,问题级别,问题级别,True,True,OK,
wst_trace_topology_issue,object_type,关联对象类型,关联对象类型,True,True,OK,
wst_trace_topology_issue,object_id,关联对象ID,关联对象ID,True,True,OK,
wst_trace_topology_issue,object_name,关联对象名称,关联对象名称,True,True,OK,
wst_trace_topology_issue,issue_desc,问题详细描述,问题详细描述,True,True,OK,
wst_trace_topology_issue,metadata_json,元数据JSON,元数据JSON,True,True,OK,
