table_name,ddl_file,columns_in_ddl,has_create_table,has_ddl_not_available
rs_industrial_info_yc,rs_industrial_info_yc.sql,1,yes,no
rs_livestock_info_yc,rs_livestock_info_yc.sql,1,yes,no
rs_outlet,rs_outlet.sql,1,yes,no
rs_outlet_info_v2,rs_outlet_info_v2.sql,1,yes,no
rs_outlet_live_v2,rs_outlet_live_v2.sql,1,yes,no
rs_outlet_monitor_v2,rs_outlet_monitor_v2.sql,1,yes,no
rs_outlet_remediation_v2,rs_outlet_remediation_v2.sql,1,yes,no
rs_outlet_trace_v2,rs_outlet_trace_v2.sql,1,yes,no
rs_pollutant_enterprise,rs_pollutant_enterprise.sql,1,yes,no
rs_pollutant_info,rs_pollutant_info.sql,1,yes,no
rs_sewage_info_v2,rs_sewage_info_v2.sql,1,yes,no
rs_sewage_info_yc,rs_sewage_info_yc.sql,1,yes,no
rs_sewage_park_info,rs_sewage_park_info.sql,1,yes,no
rs_warn_records,rs_warn_records.sql,1,yes,no
rs_wastewater_day_records,rs_wastewater_day_records.sql,1,yes,no
rs_wastewater_hour_records,rs_wastewater_hour_records.sql,1,yes,no
rs_wastewater_month_records,rs_wastewater_month_records.sql,1,yes,no
rs_wastewater_standard,rs_wastewater_standard.sql,1,yes,no
se_watershed,se_watershed.sql,1,yes,no
se_watershed_river,se_watershed_river.sql,1,yes,no
wh_hydrological_day_records,wh_hydrological_day_records.sql,1,yes,no
wh_hydrological_hour_records,wh_hydrological_hour_records.sql,1,yes,no
wh_hydrological_records_1,wh_hydrological_records_1.sql,1,yes,no
wh_meteorological_day_records,wh_meteorological_day_records.sql,1,yes,no
wh_meteorological_hour_records,wh_meteorological_hour_records.sql,1,yes,no
wh_meteorological_predict_day_records,wh_meteorological_predict_day_records.sql,1,yes,no
wh_meteorological_predict_hour_records,wh_meteorological_predict_hour_records.sql,1,yes,no
wh_meteorological_records_1,wh_meteorological_records_1.sql,1,yes,no
wm_camera_info,wm_camera_info.sql,1,yes,no
wm_camera_platform,wm_camera_platform.sql,1,yes,no
wm_directory,wm_directory.sql,1,yes,no
wm_hydrological_info,wm_hydrological_info.sql,1,yes,no
wm_image_info,wm_image_info.sql,1,yes,no
wm_meteorological_info,wm_meteorological_info.sql,1,yes,no
wm_panorama_layer,wm_panorama_layer.sql,1,yes,no
wm_panorama_layer_relation,wm_panorama_layer_relation.sql,1,yes,no
wm_panorama_video,wm_panorama_video.sql,1,yes,no
wm_raster_info,wm_raster_info.sql,1,yes,no
wm_raster_inversion,wm_raster_inversion.sql,1,yes,no
wm_raster_inversion_config,wm_raster_inversion_config.sql,1,yes,no
wm_section_info,wm_section_info.sql,1,yes,no
wm_section_wq_info,wm_section_wq_info.sql,1,yes,no
wm_station_info,wm_station_info.sql,1,yes,no
wm_station_info_v2,wm_station_info_v2.sql,1,yes,no
wm_uav_info,wm_uav_info.sql,1,yes,no
wm_water_intake,wm_water_intake.sql,1,yes,no
wm_water_source,wm_water_source.sql,1,yes,no
wm_water_source_intake_v2,wm_water_source_intake_v2.sql,1,yes,no
wm_water_source_zone_v2,wm_water_source_zone_v2.sql,1,yes,no
wm_waterbody_info,wm_waterbody_info.sql,1,yes,no
wm_waterquality_day_records,wm_waterquality_day_records.sql,1,yes,no
wm_waterquality_hour_records,wm_waterquality_hour_records.sql,1,yes,no
wm_waterquality_month_records,wm_waterquality_month_records.sql,1,yes,no
wm_waterquality_threshold,wm_waterquality_threshold.sql,1,yes,no
wm_waterquality_year_records,wm_waterquality_year_records.sql,1,yes,no
wst_asset,wst_asset.sql,1,yes,no
wst_asset_relation,wst_asset_relation.sql,1,yes,no
wst_asset_trace_snap,wst_asset_trace_snap.sql,1,yes,no
wst_asset_type_dict,wst_asset_type_dict.sql,1,yes,no
wst_control_zone,wst_control_zone.sql,1,yes,no
wst_layer_river,wst_layer_river.sql,1,yes,no
wst_relation_subtype_dict,wst_relation_subtype_dict.sql,1,yes,no
wst_relation_type_dict,wst_relation_type_dict.sql,1,yes,no
wst_trace_edge,wst_trace_edge.sql,1,yes,no
wst_trace_node,wst_trace_node.sql,1,yes,no
wst_trace_topology_issue,wst_trace_topology_issue.sql,1,yes,no
wt_service_directory,wt_service_directory.sql,1,yes,no
wt_warnparm_config,wt_warnparm_config.sql,1,yes,no
