table_schema,table_name,table_comment,column_count,commented_column_count,missing_comment_count,comment_coverage_ratio,table_prefix
public,layer_partition_3,三级分区,6,4,2,66.7%,layer_partition
public,layer_reservoir_provincial,省控水库,30,0,30,0.0%,layer_reservoir
public,layer_reservoir_provincial_label,省控水库注记,27,0,27,0.0%,layer_reservoir
public,layer_reservoir_provincial_合并,省控水库,27,0,27,0.0%,layer_reservoir
public,layer_river_provincial,,23,0,23,0.0%,layer_river
public,layer_river_provincial_bak0617,省控河流,23,0,23,0.0%,layer_river
public,layer_section,工业园区-监测断面,6,0,6,0.0%,layer_section
public,layer_watershed,工业园区-汇水区,4,0,4,0.0%,layer_watershed
public,metadata_view,元数据-视图,9,3,6,33.3%,metadata_view
public,min_value_setting,最低检出限,8,8,0,100.0%,min_value
public,rs_enterprise_info_lsg,湖北省磷石膏尾矿库企业信息表：宜昌水环境,22,22,0,100.0%,rs_enterprise
public,rs_enterprise_info_wade,污染源自动监管涉水企业：宜昌水环境,16,16,0,100.0%,rs_enterprise
public,rs_industrial_info_yc,工业园区环境监测数据表,66,61,5,92.4%,rs_industrial
public,rs_industrial_info_yc_bak0305,,13,7,6,53.8%,rs_industrial
public,rs_livestock_info_yc,规模化畜禽养殖场-宜昌水环境,68,68,0,100.0%,rs_livestock
public,rs_outlet,排污口信息表,106,105,1,99.1%,rs_outlet
public,rs_outlet_info_v2,排污口管理,30,24,6,80.0%,rs_outlet
public,rs_outlet_live_v2,排污口实况,14,8,6,57.1%,rs_outlet
public,rs_outlet_monitor_v2,排污口监测,19,13,6,68.4%,rs_outlet
public,rs_outlet_remediation_v2,排污口整治,14,8,6,57.1%,rs_outlet
public,rs_outlet_trace_v2,排污口溯源,23,17,6,73.9%,rs_outlet
public,rs_pollutant_enterprise,污染源企业信息表：宜昌污染源在线平台企业信息,27,27,0,100.0%,rs_pollutant
public,rs_pollutant_info,企业污染源排口信息表：宜昌污染源在线平台,21,21,0,100.0%,rs_pollutant
public,rs_sewage_info_v2,污水处理厂档案管理及监测,64,58,6,90.6%,rs_sewage
public,rs_sewage_info_yc,污水处理厂信息表：宜昌水环境,17,17,0,100.0%,rs_sewage
public,rs_sewage_park_info,污水处理厂-园区配套信息表,18,13,5,72.2%,rs_sewage
public,rs_warn_records,污染预警消息通知,25,25,0,100.0%,rs_warn
public,rs_wastewater_day_records,污染源监测日记录表,59,59,0,100.0%,rs_wastewater
public,rs_wastewater_hour_records,污染源-小时监测数据表,57,57,0,100.0%,rs_wastewater
public,rs_wastewater_month_records,污染源监测月记录表,62,62,0,100.0%,rs_wastewater
public,rs_wastewater_standard,废水/废气排放标准配置表,15,15,0,100.0%,rs_wastewater
public,se_watershed,流域产值信息：年统计值,14,13,1,92.9%,se_watershed
public,se_watershed_river,流域河流管理档案表,26,26,0,100.0%,se_watershed
public,spatial_ref_sys,,5,0,5,0.0%,spatial_ref
public,stg_sjtj_sxhysjzxpt_dbo_operator_day_burnup_df,船舶公司每天的燃耗,4,4,0,100.0%,stg_sjtj
public,stg_sjtj_sxhysjzxpt_t_vessel_info_df,船舶报港离港信息,8,8,0,100.0%,stg_sjtj
public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_clean_company_df,锚地与清洁公司关联表,4,4,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,锚地信息表,15,11,4,73.3%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df,船舶污染物清洁公司信息,15,15,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df,全流程协同指数,9,9,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df,根据行船类别统计每日污染物提交重量,15,15,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df,接收船舶考评日报,11,11,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_subject_num_df,净小宜全流程各类型主体数量,8,8,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_day_sxhy_df,洗舱服务,10,10,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_month_receive_ship_kpi_df,污染物接收量数据,20,20,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_order_receive_minute_df,每日各清洁公司接单接收时效数据,8,8,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_process_unit_info_df,船舶污染物处置单位信息表,19,19,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_assessment_df,接受船舶评估,13,12,1,92.3%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_info_df,船舶污染物接收船舶信息表,22,22,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_transfer_car_df,转运车辆信息,12,12,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df,船舶污染物接收码头信息表,20,18,2,90.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_wharf_kpi_df,码头接单情况,9,9,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_apply_detail_df,污染物接收明细,16,16,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,污染物接收表,64,56,8,87.5%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,污染物转运B流程明细单,8,4,4,50.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_df,污染物转运B流程,31,31,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_receive_storage_df,污染物存储明细单,5,5,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_detail_df,污染物转运处置明细单,5,5,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_df,污染物转运处置表,72,72,0,100.0%,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_wharf_storage_df,污染物码头存储表,25,25,0,100.0%,stg_sjtysj
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_bas_base_df,流域基础信息,21,21,0,100.0%,stg_sslhhpj
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_wmst_base_df,影像监视点基础信息,28,28,0,100.0%,stg_sslhhpj
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rcm_rv_lk_res_df,河湖库信息表,15,15,0,100.0%,stg_sslhhpj
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rel_st_source_df,监测站来源分类表,3,3,0,100.0%,stg_sslhhpj
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_warn_stcd_r_df,预警测站关联表,6,6,0,100.0%,stg_sslhhpj
public,stg_sslhhpj_hbsxkqycszhslzhglptjsxm_wr_mp_b_df,监测站(点)-取用水监测点基本信息表,24,24,0,100.0%,stg_sslhhpj
public,stg_ycsjtysj_sxhyzssj_base_channel_df,航道信息表,9,9,0,100.0%,stg_ycsjtysj
public,stg_ycsjtysj_sxhyzssj_base_channel_level_df,航道按等级|县市区划分,10,10,0,100.0%,stg_ycsjtysj
public,stg_ycsjtysj_sxhyzssj_base_ship_df,图层管理（船舶）KPI,18,15,3,83.3%,stg_ycsjtysj
public,stg_ycsjtysj_sxhyzssj_data_coverage_wharf_df,图层管理（码头）KPI,13,13,0,100.0%,stg_ycsjtysj
public,stg_ycsjtysj_sxhyzssj_data_ship_info_df,图层管理（清洁船舶）KPI,11,11,0,100.0%,stg_ycsjtysj
public,stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df,污染源_基本信息,47,47,0,100.0%,stg_ycssthjj
public,stg_ycssthjj_lysthjjkyjpt_t_sjzx_szzdjcz_df,城市数字公共基础设施建设__水质自动监测站,12,12,0,100.0%,stg_ycssthjj
public,stg_ycssthjj_wryzxjkpt_t_zxjc_s_w_1_df,监控数据_日数据_污染物_,23,23,0,100.0%,stg_ycssthjj
public,wh_hydrological_day_records,水文监测日记录表,29,29,0,100.0%,wh_hydrological
public,wh_hydrological_hour_records,水文监测小时记录表,19,19,0,100.0%,wh_hydrological
public,wh_hydrological_records_1,水文数据表,11,11,0,100.0%,wh_hydrological
public,wh_meteorological_day_records,气象数据日记录表,42,42,0,100.0%,wh_meteorological
public,wh_meteorological_hour_records,气象数据小时记录表,24,24,0,100.0%,wh_meteorological
public,wh_meteorological_predict_day_records,气象预报日记录表,40,8,32,20.0%,wh_meteorological
public,wh_meteorological_predict_hour_records,气象预报小时记录表,41,8,33,19.5%,wh_meteorological
public,wh_meteorological_records_1,气象数据表,11,11,0,100.0%,wh_meteorological
public,wm_camera_info,摄像头基本信息表,16,16,0,100.0%,wm_camera
public,wm_camera_platform,视频平台设备信息表,21,20,1,95.2%,wm_camera
public,wm_directory,目录树实体,10,10,0,100.0%,wm_directory
public,wm_hydrological_info,水位站基本信息表,40,37,3,92.5%,wm_hydrological
public,wm_image_info,档案图片信息表：用于保存各种站点、断面、污染源的图片信息,12,11,1,91.7%,wm_image
public,wm_meteorological_info,气象自动监测站基本信息表,40,37,3,92.5%,wm_meteorological
public,wm_panorama_layer,全景图层信息表,11,11,0,100.0%,wm_panorama
public,wm_panorama_layer_relation,全景图层关联关系表,7,7,0,100.0%,wm_panorama
public,wm_panorama_video,全景视频信息表,9,9,0,100.0%,wm_panorama
public,wm_raster_info,,14,13,1,92.9%,wm_raster
public,wm_raster_inversion,,18,17,1,94.4%,wm_raster
public,wm_raster_inversion_config,,9,0,9,0.0%,wm_raster
public,wm_section_info,断面基本信息表,26,26,0,100.0%,wm_section
public,wm_section_wq_info,断面水质目标信息表,10,10,0,100.0%,wm_section
public,wm_station_info,水质自动监测站基本信息表,47,44,3,93.6%,wm_station
public,wm_station_info_v2,自动站管理,31,27,4,87.1%,wm_station
public,wm_uav_info,大疆无人机基础信息,39,38,1,97.4%,wm_uav
public,wm_water_intake,水源地-取水口,14,12,2,85.7%,wm_water
public,wm_water_source,水源地信息：通过code码关联,36,34,2,94.4%,wm_water
public,wm_water_source_bak0421,水源地信息：通过code码关联,61,60,1,98.4%,wm_water
public,wm_water_source_intake_v2,饮用水水源地管理及监测-取水口,22,16,6,72.7%,wm_water
public,wm_water_source_zone_v2,饮用水水源地管理及监测-保护区,19,12,7,63.2%,wm_water
public,wm_waterbody_info,水体信息实体类,27,18,9,66.7%,wm_waterbody
public,wm_waterquality_day_records,水质监测日记录表,73,71,2,97.3%,wm_waterquality
public,wm_waterquality_hour_records,水质监测小时记录表,82,82,0,100.0%,wm_waterquality
public,wm_waterquality_month_records,水质监测月记录表,77,77,0,100.0%,wm_waterquality
public,wm_waterquality_threshold,站点水质指标阈值,38,38,0,100.0%,wm_waterquality
public,wm_waterquality_year_records,水质监测年记录表,71,71,0,100.0%,wm_waterquality
public,wst_asset,水安全溯源模块-统一资产表，存储断面、站点、排口、企业、园区、闸坝、管线、摄像头、事故池等可上图、可查询、可关联对象,26,26,0,100.0%,wst_asset
public,wst_asset_relation,资产关系实例表，存储资产与资产之间的一度业务关系，不代表水流路径,11,11,0,100.0%,wst_asset
public,wst_asset_trace_snap,水安全溯源模块-资产拓扑挂接表，用于维护业务资产与溯源拓扑节点之间的挂接关系，是资产进入 pgRouting 网络计算的桥梁,27,23,4,85.2%,wst_asset
public,wst_asset_type_dict,水安全溯源模块-资产类型字典表，用于统一管理资产类型、图层、图标、几何类型和前端展示规则,22,18,4,81.8%,wst_asset
public,wst_control_zone,水安全溯源模块-三级分区表，用于管理国控断面控制单元、自动站分区、工业园区/分水岭分区,19,19,0,100.0%,wst_control
public,wst_layer_river,,12,2,10,16.7%,wst_layer
public,wst_relation_subtype_dict,关系子类字典表，维护具体业务关系类型、标准方向和允许资产类型,19,19,0,100.0%,wst_relation
public,wst_relation_type_dict,关系大类字典表，用于维护资产关系的大类编码,8,8,0,100.0%,wst_relation
public,wst_trace_edge,水安全溯源模块-溯源拓扑边表，用于存储河网、管网、排水路径、园区内外衔接路径，是 pgRouting 上下游分析的核心边表,36,32,4,88.9%,wst_trace
public,wst_trace_node,水安全溯源模块-溯源拓扑节点表，用于存储河网、管网、园区排污河流、排口挂接点、断面挂接点、园区出口等 pgRouting 节点,25,24,1,96.0%,wst_trace
public,wst_trace_topology_issue,,18,5,13,27.8%,wst_trace
public,wt_service_directory,主键id,25,25,0,100.0%,wt_service
public,wt_warnparm_config,监测预警参数配置表,21,21,0,100.0%,wt_warnparm
