table_schema,table_name,column_name,data_type,udt_name,reason
public,_stg_yichang_river_import,FLIPPED,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,FROM_Z,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,TO_Z,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,STR_ORD,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_import,SHR_ORD,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_std,gid,integer,int4,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_std,next_down,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_std,river_class,text,text,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_std,length_km,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_std,from_z,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,_stg_yichang_river_std,to_z,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,day_quality_setting,span_value,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,day_quality_setting,zero_standard_value,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,day_quality_setting,span_standard_value,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_ecologicalregion,ecological_region_name,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_ecologicalregion,ecological_region_code,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_ecologicalregion,population,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,gis_ecologicalregion,service_target,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_ecologicalregion,ecosystem_vegetation,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_ecologicalregion,human_activities,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_ecologicalregion,environment_problems,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_ecologicalregion,control_measures,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_headwaters,headwaters_name,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_headwaters,headwaters_code,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_headwaters,water_intake_quantity,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_headwaters,water_supply_population,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,gis_headwaters,is_protect_region,character,bpchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,nature_reserve_name,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,nature_reserve_code,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,department,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,protect_target,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,total_area,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,core_area,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,buffer_area,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,manage_org_name,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,manage_org_type,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,manage_org_level,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,population,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,first_protect_animals,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,second_protect_animals,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,first_protect_plants,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_naturereserve,second_protect_plants,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_region,region_level,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_region,parent_code,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_region_population,city_population,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_region_population,city_area,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_region_population,city_quantity,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_region_population,rural_population,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_region_population,rural_area,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_region_population,rural_quantity,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_watershed_partition_4,poly_area,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,gis_watershed_partition_4,2021,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_watershed_partition_4,2025,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,gis_watershed_partition_4,2035,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_industrial_yjsgc,x,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_industrial_yjsgc,y,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_industrial_ysc,x,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_industrial_ysc,y,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_outlet_sewage,x,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_outlet_sewage,y,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,objectid,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,cc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,gb,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,bas,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,period,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,wq,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,aheight,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,parea,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,ec,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,grade,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,mheight,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,sdtf,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,shrc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,vol,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,featid,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,elemstime,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,elemetime,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,ecrm,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,wrid,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,wrgr,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,areacode,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,changetype,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,changeatt,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,shape_leng,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial,shape_area,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,cc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,gb,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,bas,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,period,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,wq,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,aheight,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,parea,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,ec,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,grade,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,mheight,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,sdtf,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,shrc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,vol,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,featid,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,elemstime,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,elemetime,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,ecrm,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,wrid,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,wrgr,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,areacode,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,changetype,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_label,changeatt,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,cc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,gb,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,bas,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,period,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,wq,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,aheight,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,parea,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,ec,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,grade,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,mheight,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,sdtf,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,shrc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,vol,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,featid,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,elemstime,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,elemetime,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,ecrm,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,wrid,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,wrgr,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,areacode,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,changetype,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_reservoir_provincial_合并,changeatt,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,cc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,gb,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,bas,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,ec,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,grade,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,period,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,shrc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,sdtf,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,featid,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,elemstime,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,elemetime,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,ecrm,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,wrid,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,wrgr,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,areacode,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,changetype,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial,changeatt,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,cc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,gb,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,bas,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,ec,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,grade,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,period,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,shrc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,sdtf,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,featid,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,elemstime,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,elemetime,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,ecrm,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,wrid,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,wrgr,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,areacode,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,changetype,integer,int4,库内无同名字段注释可参考，无法安全推断
public,layer_river_provincial_bak0617,changeatt,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,layer_section,x,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,layer_section,y,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,metadata_view,aliasname,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,metadata_view,LayerName,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,metadata_view,LayerType,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,rs_outlet,quick_detect_desc,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,spatial_ref_sys,srid,integer,int4,库内无同名字段注释可参考，无法安全推断
public,spatial_ref_sys,auth_name,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,spatial_ref_sys,auth_srid,integer,int4,库内无同名字段注释可参考，无法安全推断
public,spatial_ref_sys,srtext,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,spatial_ref_sys,proj4text,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,shlj_text,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,fy_time,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,hyws_time,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,shws_time,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,from_port_province,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,from_port_city,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,to_port_province,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,to_port_city,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,js_apply_no,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,js_detail_id,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,winddirect_10m_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,winddirect8_10m_24h,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,winddirect16_10m_24h,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,hum_2m_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,hum_2m_24h_min,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,hum_2m_24h_max,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,stapress_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,pressure_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,p850inver_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,p925inver_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,swdown_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,glw_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,height_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,rain_24h_total,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,dewpoint_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,lowcloud_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,midcloud_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,highcloud_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,totalcloud_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,tem_2m_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,tem_2m_24h_min,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,tem_2m_24h_max,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,visib_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,pbl_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,pbl_24h_min,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,pbl_24h_max,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,windspeed_10m_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,windspeed_10m_24h_min,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,windspeed_10m_24h_max,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,predictiontime,timestamp without time zone,timestamp,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,predictioninterval,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_day_records,datadate,timestamp without time zone,timestamp,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,winddirect_10m_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,winddirect8_10m_1h,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,winddirect16_10m_1h,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,windspeed_10m_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,tem_2m_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,hum_2m_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,dewpoint_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,dtem_2m_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,dtem_2m_3h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,dtem_2m_6h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,dtem_2m_12h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,dtem_2m_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,rain_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,rain_3h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,rain_6h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,rain_12h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,rain_24h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,lowcloud_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,midcloud_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,highcloud_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,totalcloud_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,pbl_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,height_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,pressure_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,stapress_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,glw_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,swdown_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,p850inver_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,p925inver_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,visib_1h,double precision,float8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,predictiontime,timestamp without time zone,timestamp,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,predictioninterval,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,wh_meteorological_predict_hour_records,datadate,timestamp without time zone,timestamp,库内无同名字段注释可参考，无法安全推断
public,wm_hydrological_info,last_maintenance_time,date,date,库内无同名字段注释可参考，无法安全推断
public,wm_meteorological_info,last_maintenance_time,date,date,库内无同名字段注释可参考，无法安全推断
public,wm_raster_inversion_config,boundaries_json,text,text,库内无同名字段注释可参考，无法安全推断
public,wm_raster_inversion_config,labels_json,text,text,库内无同名字段注释可参考，无法安全推断
public,wm_raster_inversion_config,colors_json,text,text,库内无同名字段注释可参考，无法安全推断
public,wm_station_info,last_maintenance_time,date,date,库内无同名字段注释可参考，无法安全推断
public,wm_waterbody_info,water_body_code,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wm_waterbody_info,water_body_function,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wm_waterbody_info,country,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wm_waterbody_info,start_village,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wm_waterbody_info,end_village,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wm_waterbody_info,up_stream,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wm_waterbody_info,down_stream,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wst_asset_trace_snap,snap_node_id,bigint,int8,库内无同名字段注释可参考，无法安全推断
