column_name,distinct_comment_count,involved_comments,involved_tables,risk_level,recommendation,note
category,2,分类 ||| 资产分类，例如 monitoring=监测类，pollution=污染源类，supervision=监管类，emergency=应急类，network=网络类,"gis_poi, wst_asset_type_dict",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
cc_store_no,2,存储单单号，可能没有 ||| 后续存储单单号,"stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df, stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
channel_name,2,航道名 ||| 航道名称,"stg_ycsjtysj_sxhyzssj_base_channel_df, stg_ycsjtysj_sxhyzssj_base_channel_level_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
city,4,市级名称 ||| 市 ||| 城市 ||| 地市,"gis_region_county, gis_region_township, rs_enterprise_info_lsg, rs_livestock_info_yc, wm_water_intake, wm_water_source_intake_v2, wm_water_source_zone_v2",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
code,5,poi标识码 ||| 编码 ||| 水源编码 ||| 代码 ||| code 唯一,"gis_poi, gis_watershed_partition, wm_uav_info, wm_water_intake, wm_water_source, wm_water_source_bak0421, wt_service_directory",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
company_id,2,清洁公司id ||| 接收船舶所属清洁公司id,"stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_clean_company_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df, stg_sjtysj_cbwrwxtzlxxxt_b_month_receive_ship_kpi_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
company_name,2,清洁公司名称 ||| 接收船舶所属清洁公司名称,"stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df, stg_sjtysj_cbwrwxtzlxxxt_b_month_receive_ship_kpi_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
companyname,2,航运企业 ||| 固定源对应的企业名称,"stg_sjtj_sxhysjzxpt_t_vessel_info_df, stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
confidence,2,置信度 ||| 挂接置信度，0-1之间,"wst_asset_relation, wst_asset_trace_snap",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
confirm_by,2,确认者 ||| 确认人,"stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df, stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_df, stg_sjtysj_cbwrwxtzlxxxt_p_wharf_storage_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
control_unit_id,2,控制单元id ||| 所属控制单元id,"wm_section_info, wm_waterbody_info",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
county,3,区县名称 ||| 县 ||| 区县,"gis_region_township, rs_enterprise_info_lsg, rs_livestock_info_yc, wm_water_intake",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
create_by,4,创建人 ||| 创建人ID ||| 创建者 ||| 申请账号,"cf_auto_build_flag, day_quality_records, day_quality_setting, dc_survey_app, dc_survey_info, dc_survey_offline_sync, dc_survey_offline_upload, dc_survey_task, dc_survey_track, gis_control_unit, gis_region, gis_watershed_partition, min_value_setting, rs_enterprise_info_lsg, rs_enterprise_info_wade, rs_livestock_info_yc, rs_outlet, rs_pollutant_enterprise, rs_pollutant_info, rs_sewage_info_yc, rs_warn_records, rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, rs_wastewater_standard, se_watershed_river, stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df, stg_sjtysj_cbwrwxtzlxxxt_b_process_unit_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_transfer_car_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df, stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df, stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_df, stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_df, stg_sjtysj_cbwrwxtzlxxxt_p_wharf_storage_df, stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rcm_rv_lk_res_df, wh_hydrological_day_records, wh_hydrological_hour_records, wh_hydrological_records_1, wh_meteorological_day_records, wh_meteorological_hour_records, wh_meteorological_predict_day_records, wh_meteorological_predict_hour_records, wh_meteorological_records_1, wm_camera_info, wm_camera_platform, wm_hydrological_info, wm_image_info, wm_meteorological_info, wm_section_info, wm_section_wq_info, wm_station_info, wm_uav_info, wm_waterbody_info, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records, wt_service_directory, wt_warnparm_config",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
create_date,2,创建时间 ||| 创建日期,"layer_entity_relation, metadata_view, stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df, stg_sjtysj_cbwrwxtzlxxxt_b_process_unit_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_transfer_car_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df, stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df, stg_sjtysj_cbwrwxtzlxxxt_p_trans_apply_df, stg_sjtysj_cbwrwxtzlxxxt_p_wharf_storage_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
create_time,2,创建时间 ||| 申请时间,"cf_auto_build_flag, day_quality_records, day_quality_setting, dc_survey_app, dc_survey_info, dc_survey_offline_sync, dc_survey_offline_upload, dc_survey_task, dc_survey_task_instance, dc_survey_track, gis_control_unit, gis_region, gis_watershed_partition, min_value_setting, rs_enterprise_info_lsg, rs_enterprise_info_wade, rs_livestock_info_yc, rs_outlet, rs_pollutant_enterprise, rs_pollutant_info, rs_sewage_info_yc, rs_warn_records, rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, rs_wastewater_standard, se_watershed_river, stg_sjtysj_cbwrwxtzlxxxt_b_month_receive_ship_kpi_df, stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_df, stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rcm_rv_lk_res_df, wh_hydrological_day_records, wh_hydrological_hour_records, wh_hydrological_records_1, wh_meteorological_day_records, wh_meteorological_hour_records, wh_meteorological_predict_day_records, wh_meteorological_predict_hour_records, wh_meteorological_records_1, wm_camera_info, wm_camera_platform, wm_directory, wm_hydrological_info, wm_image_info, wm_meteorological_info, wm_panorama_layer, wm_panorama_layer_relation, wm_panorama_video, wm_raster_info, wm_raster_inversion, wm_section_info, wm_section_wq_info, wm_station_info, wm_uav_info, wm_waterbody_info, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records, wt_service_directory, wt_warnparm_config",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
createtime,2,时间 ||| 投运时间,"stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_assessment_df, stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
credit_code,2,统一社会信用代码 ||| 统一信用代码,"rs_livestock_info_yc, rs_outlet_trace_v2",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
del_flag,12,"删除标记：0 未删除、1 已删除 ||| 删除标志：0-正常、1-删除 ||| 删除标记: 0-未删除、1-已删除 ||| 删除标记 ||| 删除标记（0-正常，1-删除） ||| 删除标记：0-正常，1-删除 ||| 删除标记：0未删除、1已删除 ||| 删除标记: 0-未删除, 1-已删除 ||| 删除标志：0-正常，1-已删除 ||| 删除标志 ||| 0未删除,1已删除 ||| 逻辑删除标记：0=未删除，1=已删除","cf_auto_build_flag, day_quality_records, day_quality_setting, dc_survey_info, dc_survey_offline_sync, dc_survey_task, gis_control_unit, gis_region, gis_watershed_partition, min_value_setting, rs_enterprise_info_lsg, rs_enterprise_info_wade, rs_livestock_info_yc, rs_outlet, rs_pollutant_enterprise, rs_pollutant_info, rs_sewage_info_yc, rs_warn_records, rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, rs_wastewater_standard, se_watershed, se_watershed_river, wh_hydrological_day_records, wh_hydrological_hour_records, wh_hydrological_records_1, wh_meteorological_day_records, wh_meteorological_hour_records, wh_meteorological_predict_day_records, wh_meteorological_predict_hour_records, wh_meteorological_records_1, wm_camera_info, wm_camera_platform, wm_hydrological_info, wm_image_info, wm_meteorological_info, wm_raster_info, wm_raster_inversion, wm_section_info, wm_section_wq_info, wm_station_info, wm_station_info_v2, wm_uav_info, wm_waterbody_info, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records, wst_asset, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_trace_edge, wst_trace_node, wt_service_directory, wt_warnparm_config",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
description,6,现场核查情况信息（是否有污水产生、污水流向） ||| 污染源简介 ||| 目录描述 ||| 描述 ||| 关系子类说明 ||| 关系大类说明,"dc_survey_info, stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df, wm_directory, wm_panorama_video, wst_relation_subtype_dict, wst_relation_type_dict",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
device_code,2,设备编号 ||| 设备编码(国标20位),"wm_camera_info, wm_camera_platform",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
device_type,2,设备类型(枪机，半球，球机，云台枪机) ||| 设备类型,"stg_sslhhpj_hbsxkqycszhslzhglptjsxm_att_wmst_base_df, wm_camera_info",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
distance,2,巡查距离: 单位km ||| 距离上一个点的距离（米）,"dc_survey_task, dc_survey_track",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
duration,2,巡查时长: 单位秒 ||| 执行时长（秒）,"dc_survey_task, dc_survey_task_instance",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
emission_standard,2,执行排放标准 ||| 排放标准,"rs_industrial_info_yc, rs_outlet_trace_v2",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
evaluation,2,服务评分 ||| 本次服务评价,"stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_assessment_df, stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
file_md5,2,安装包MD5值，用于校验文件完整性 ||| 文件标识：MD5值，用于唯一标识文件和完整性校验,"dc_survey_app, dc_survey_offline_upload",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
file_path,2,文件存储路径：上传完成后的完整路径 ||| 反演文件路径,"dc_survey_offline_upload, wm_raster_inversion",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
file_size,2,安装包文件大小（字节） ||| 文件总大小：字节,"dc_survey_app, dc_survey_offline_upload",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
frequency,2,测量频率 ||| 监测频率（小时计）,"wm_hydrological_info, wm_meteorological_info, wm_station_info, wt_warnparm_config",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
geom,9,几何信息 ||| 图形 ||| 图形信息 ||| 排污口所在位置 ||| 取水口位置 ||| 资产空间几何，点、线、面均可，坐标系SRID=4326 ||| 分区边界面几何，坐标系SRID=4326 ||| 边线几何，坐标系SRID=4326 ||| 节点点几何，坐标系SRID=4326,"gis_control_unit, gis_watershed_partition, rs_outlet, rs_outlet_info_v2, rs_outlet_live_v2, rs_outlet_trace_v2, rs_pollutant_enterprise, rs_pollutant_info, rs_sewage_park_info, wm_section_info, wm_station_info_v2, wm_water_source_intake_v2, wm_waterbody_info, wst_asset, wst_control_zone, wst_trace_edge, wst_trace_node",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
geometry_type,2,默认几何类型：Point、LineString、Polygon、Geometry ||| 几何类型：1 点、2 线、3 面、4 三维模型、5 影像,"wst_asset_type_dict, wt_service_directory",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
hydrological_indicator_codes,2,水位监测指标编号集合，逗号连接 ||| 水文监测指标id集合，逗号连接,"wm_hydrological_info, wm_station_info",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
hydrological_table_name,2,水位监测记录表名 ||| 水文监测记录表名,"wm_hydrological_info, wm_station_info",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
id,10,主键id ||| 主键ID ||| 主键 ||| id ||| 数据id ||| 监测站点的唯一id ||| 自增主键 ||| 断面id ||| 主键ID，同时作为 pgRouting 的边ID ||| 主键ID，同时作为 pgRouting 的 source/target 节点ID,"cf_auto_build_flag, day_quality_records, day_quality_setting, dc_survey_app, dc_survey_info, dc_survey_offline_sync, dc_survey_offline_upload, dc_survey_task, dc_survey_task_instance, dc_survey_track, gis_control_unit, gis_poi, gis_region, layer_entity_process, layer_entity_relation, min_value_setting, rs_enterprise_info_lsg, rs_enterprise_info_wade, rs_industrial_info_yc, rs_livestock_info_yc, rs_outlet, rs_pollutant_enterprise, rs_pollutant_info, rs_sewage_info_yc, rs_sewage_park_info, rs_warn_records, rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, rs_wastewater_standard, se_watershed_river, stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_clean_company_df, stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df, stg_sjtysj_cbwrwxtzlxxxt_b_coordination_index_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_pollution_weight_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_receive_ship_kpi_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_subject_num_df, stg_sjtysj_cbwrwxtzlxxxt_b_day_sxhy_df, stg_sjtysj_cbwrwxtzlxxxt_b_month_receive_ship_kpi_df, stg_sjtysj_cbwrwxtzlxxxt_b_order_receive_minute_df, stg_sjtysj_cbwrwxtzlxxxt_b_process_unit_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_transfer_car_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_kpi_df, stg_sjtysj_cbwrwxtzlxxxt_p_apply_detail_df, stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df, stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_df, stg_sslhhpj_hbsxkqycszhslzhglptjsxm_rcm_rv_lk_res_df, stg_ycsjtysj_sxhyzssj_base_channel_df, stg_ycsjtysj_sxhyzssj_base_channel_level_df, stg_ycsjtysj_sxhyzssj_base_ship_df, stg_ycsjtysj_sxhyzssj_data_coverage_wharf_df, wh_hydrological_day_records, wh_hydrological_hour_records, wh_hydrological_records_1, wh_meteorological_day_records, wh_meteorological_hour_records, wh_meteorological_predict_day_records, wh_meteorological_predict_hour_records, wh_meteorological_records_1, wm_camera_info, wm_directory, wm_hydrological_info, wm_meteorological_info, wm_panorama_layer, wm_panorama_layer_relation, wm_panorama_video, wm_section_info, wm_section_wq_info, wm_station_info, wm_station_info_v2, wm_waterbody_info, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records, wst_asset, wst_asset_relation, wst_asset_trace_snap, wst_asset_type_dict, wst_control_zone, wst_relation_subtype_dict, wst_relation_type_dict, wst_trace_edge, wst_trace_node, wt_service_directory, wt_warnparm_config",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
image_path,3,图片地址：图片在minIO存储 ||| 缩略图路径 ||| 图片路径,"dc_survey_info, wm_raster_info, wm_water_source, wm_water_source_bak0421",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
img_url,2,码头图片 ||| 照片地址,"stg_ycsjtysj_sxhyzssj_data_coverage_wharf_df, wm_hydrological_info, wm_meteorological_info, wm_station_info, wm_waterbody_info",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
indicator_code,3,监测指标编号 ||| 指标编码 ||| 遥感监测分析项编码,"day_quality_setting, min_value_setting, rs_wastewater_standard, wh_hydrological_records_1, wh_meteorological_records_1, wm_raster_inversion, wt_warnparm_config",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
indicator_name,2,指标名称 ||| 指标项名称,"rs_wastewater_standard, wm_raster_inversion",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
is_deleted,2,是否删除 ||| 是否删除（true:已删除，false:未删除）,"wm_directory, wm_panorama_layer, wm_panorama_layer_relation, wm_panorama_video",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
jgjb,2,监管级别（代码集：ZXJC_WRYJGJB）：ZDWRY、YBWRY ||| 监管级别：ZD-重点、YB-一般,"rs_pollutant_enterprise, rs_pollutant_info",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
key_river_name,2,重点河名称 ||| 重点河湖名称,"rs_outlet, rs_outlet_info_v2",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
l1_value,2,最低标准 ||| 一级,"rs_wastewater_standard, wt_warnparm_config",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
l2_value,2,小时标准 ||| 二级,"rs_wastewater_standard, wt_warnparm_config",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
l3_value,2,日标准 ||| 三级,"rs_wastewater_standard, wt_warnparm_config",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
latitude,2,纬度 ||| WGS-84坐标系，如：39.780852,"stg_ycsjtysj_sxhyzssj_data_coverage_wharf_df, stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df, wm_panorama_layer, wst_asset, wst_trace_node",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
layer_id,2,图层ID ||| 所属全景图层ID,"wm_panorama_layer_relation, wm_panorama_video",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
legal_person,2,法人 ||| 法人代表,"stg_sjtysj_cbwrwxtzlxxxt_b_clean_company_df, stg_sjtysj_cbwrwxtzlxxxt_b_process_unit_info_df, stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
length,2,船长 ||| 水体长度（km）,"stg_ycsjtysj_sxhyzssj_data_ship_info_df, wm_waterbody_info",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
level,3,航道等级 ||| 级别：乡镇、区县 ||| 级别,"stg_ycsjtysj_sxhyzssj_base_channel_level_df, wm_water_intake, wm_water_source, wm_water_source_bak0421",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
liaison,2,环保联系人 ||| 联系人,"rs_enterprise_info_wade, rs_livestock_info_yc",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
liaison_tel,2,环保联系人电话 ||| 联系人电话,"rs_enterprise_info_wade, rs_livestock_info_yc",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
