table_name,column_name,data_type,column_comment,table_comment,training_status,risk_level,reason
day_quality_records,span_value6,double precision,高锰酸盐指数仪器跨度值,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,check_value6,double precision,高锰酸盐指数零点/跨度核查数据,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,standard_value6,double precision,高锰酸盐指数标准样浓度,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,monitor_time6,timestamp without time zone,高锰酸盐指数监测时间,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,span_value7,double precision,总磷仪器跨度值,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,check_value7,double precision,总磷零点/跨度核查数据,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,standard_value7,double precision,总磷标准样浓度,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,monitor_time7,timestamp without time zone,总磷监测时间,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,span_value8,double precision,总氮仪器跨度值,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,check_value8,double precision,总氮零点/跨度核查数据,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,standard_value8,double precision,总氮标准样浓度,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_records,monitor_time8,timestamp without time zone,总氮监测时间,日质控数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_setting,audit_by,bigint,审核人,日质控设置,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
day_quality_setting,audit_time,timestamp without time zone,审核时间,日质控设置,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_app,version_code,character varying,APP版本号：V1.0.0、1.0.0、100,APP安装包版本管理表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_app,version_name,character varying,APP版本名称: 如果有多个APP保证每一类名称一致,APP安装包版本管理表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_app,update_type,smallint,更新类型：1-强制更新，2-可选更新,APP安装包版本管理表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_app,download_url,character varying,安装包下载地址,APP安装包版本管理表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_app,update_log,text,更新日志,APP安装包版本管理表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_app,platform_type,smallint,平台类型：1-Android，2-iOS,APP安装包版本管理表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_info,watershed_partition_id,bigint,流域分区ID,巡回调查-调查后的核查信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_info,upload_time,character varying,上传时间：每次上传都记录时间  20251128,巡回调查-调查后的核查信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_info,lon,double precision,经度,巡回调查-调查后的核查信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_info,lat,double precision,纬度,巡回调查-调查后的核查信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_info,monitor_info,character varying,监测信息（是否监测，结果如何）,巡回调查-调查后的核查信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_info,monitor_level,character varying,管控级别：一级（常年有水，肯定对水体有影响），二级（下雨时肯定对水体影响），三级（可能有影响），四级（无影响）,巡回调查-调查后的核查信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_info,survey_type,smallint,调查类型：0-excel调查信息、1-word小结,巡回调查-调查后的核查信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_info,image_path_2,character varying,图片2,巡回调查-调查后的核查信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_info,image_path_3,character varying,图片3,巡回调查-调查后的核查信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_sync,sync_status,integer,同步状态：0-待同步，1-同步中，2-同步成功，3-同步失败,离线同步任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_sync,sync_progress,integer,同步进度：0-100,离线同步任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_sync,total_steps,integer,总步骤数,离线同步任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_sync,current_step,integer,当前步骤,离线同步任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_sync,sync_start_time,timestamp without time zone,同步开始时间,离线同步任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_sync,sync_end_time,timestamp without time zone,同步结束时间,离线同步任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_sync,sync_result,character varying,同步结果信息,离线同步任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_sync,error_message,text,错误信息,离线同步任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_upload,file_type,character varying,文件类型：json-JSON数据文件，image-图片文件,文件上传缓存表 - 支持断点续传和本地文件缓存,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_upload,file_name,character varying,文件名,文件上传缓存表 - 支持断点续传和本地文件缓存,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_upload,uploaded_size,bigint,已上传大小：字节,文件上传缓存表 - 支持断点续传和本地文件缓存,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_upload,total_chunks,integer,总分块数,文件上传缓存表 - 支持断点续传和本地文件缓存,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_upload,uploaded_chunks,text,已上传分块列表：JSON数组，记录已完成的分块序号,文件上传缓存表 - 支持断点续传和本地文件缓存,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_upload,upload_status,smallint,上传状态：0-待上传，1-上传中，2-上传完成，3-合并失败,文件上传缓存表 - 支持断点续传和本地文件缓存,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_upload,message,text,执行信息：错误日志,文件上传缓存表 - 支持断点续传和本地文件缓存,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_offline_upload,clean_flag,character,本地文件清理标记：0 未删除、1 已删除,文件上传缓存表 - 支持断点续传和本地文件缓存,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_task,survey_time,character varying,巡查时间: yyyyMMdd,巡查任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_task,watershed_partition_id,bigint,流域分区ID,巡查任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_task,point_count,integer,点位数量,巡查任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_task,image_count,integer,照片数量,巡查任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_task,current_point_count,integer,本次巡查点位数量: 重新开启后自动清零,巡查任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_task,update_name,character varying,更新人名称：当前巡查人员,巡查任务表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_task_instance,start_time,timestamp without time zone,执行开始时间,任务实例：记录轨迹、点位的添加,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_task_instance,end_time,timestamp without time zone,执行结束时间,任务实例：记录轨迹、点位的添加,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_track,lat,double precision,纬度,巡查轨迹记录表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
dc_survey_track,lon,double precision,经度,巡查轨迹记录表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
gis_control_unit,control_unit_name,character varying,控制单元名称,,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
gis_control_unit,control_unit_code,character varying,控制单元编码,,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
gis_poi,region_province,character varying,行政区省,主键id,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
gis_poi,region_city,character varying,行政区城市,主键id,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
gis_poi,lon,double precision,经度,主键id,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
gis_poi,lat,double precision,纬度,主键id,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
gis_watershed_partition,name_alias,character varying,别名,空间-流域分区数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
gis_watershed_partition,version,smallint,当前版本：从0开始递增,空间-流域分区数据,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
gis_watershed_partition_4,last_name,character varying,上一级流域名称,,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_boundary_park,name_part,character varying,分园名称,工业园区-园区边界,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_boundary_park,park_level,integer,园区级别：0-未知、1-国家级、2-省级、3-市级,工业园区-园区边界,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_process,process_type,character varying,溯源查询类型：industrial-工业园区,溯源关系查询流程：使用到的图层信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_process,layer_type,smallint,溯源查询类型：0-查询图层、1-静态图层...,溯源关系查询流程：使用到的图层信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_process,layer_name_en,character varying,图层英文名称,溯源关系查询流程：使用到的图层信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_process,layer_name_cn,character varying,图层中文名称,溯源关系查询流程：使用到的图层信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_process,geom_type,character varying,图形类型：点、线、面,溯源关系查询流程：使用到的图层信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_process,layer_level,smallint,图层层级：查询过程的级别,溯源关系查询流程：使用到的图层信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_process,query_expand_mark,smallint,扩展查询标记：关联查询相关属性,溯源关系查询流程：使用到的图层信息,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_relation,entity_code_1,character varying,要素编码1,图层-要素关联关系表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_relation,layer_name_1,character varying,图层名称1,图层-要素关联关系表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_relation,relation,character varying,关系名称,图层-要素关联关系表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_relation,entity_code_2,character varying,要素编码2,图层-要素关联关系表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_relation,layer_name_2,character varying,图层名称2,图层-要素关联关系表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_entity_relation,delete_mark,smallint,删除标志：0-正常、1-删除,图层-要素关联关系表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_outlet_sewage,jcdbh,character varying,监测点编号,工业园区-污水排放口,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_partition_2,name_1,character varying,一级分区名称,二级分区,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_partition_3,name_2,character varying,二级分区名称,三级分区,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
layer_partition_3,name_1,character varying,一级分区名称,三级分区,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
metadata_view,table_name,character varying,表名,元数据-视图,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
min_value_setting,value,double precision,最低检出限（mg/L）,最低检出限,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_lsg,mine_name,character varying,矿山名称,湖北省磷石膏尾矿库企业信息表：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_lsg,enterprise,character varying,所属企业,湖北省磷石膏尾矿库企业信息表：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_lsg,out_type,character varying,排渣方式,湖北省磷石膏尾矿库企业信息表：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_lsg,design_storage,double precision,设计库容（单位：万立方米）,湖北省磷石膏尾矿库企业信息表：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_lsg,existed_storage,double precision,现有堆量（单位：万立方米）,湖北省磷石膏尾矿库企业信息表：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_lsg,floor_area,double precision,占地面积（单位平方公里）,湖北省磷石膏尾矿库企业信息表：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_lsg,product_status,character varying,目前生产情况,湖北省磷石膏尾矿库企业信息表：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_lsg,lon,double precision,经度,湖北省磷石膏尾矿库企业信息表：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_lsg,lat,double precision,纬度,湖北省磷石膏尾矿库企业信息表：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_lsg,product_capacity,double precision,磷酸产能（万吨/年）,湖北省磷石膏尾矿库企业信息表：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_wade,supervision_level,smallint,监管级别：0-一般、1-重点,污染源自动监管涉水企业：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_wade,industry_type,character varying,行业类型,污染源自动监管涉水企业：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_wade,lon,double precision,经度,污染源自动监管涉水企业：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_enterprise_info_wade,lat,double precision,纬度,污染源自动监管涉水企业：宜昌水环境,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,name_part,character varying,分园名称,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,park_level,integer,园区级别：0-未知、1-国家级、2-省级、3-市级,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,lon,double precision,经度,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,lat,double precision,纬度,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,belong_watershed,character varying,所属流域,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,is_within_1km_yangtze_mainstream,character varying,是否在长江干流岸线一公里范围内,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,is_within_1km_yangtze_tributary,character varying,是否在长江重要支流岸线一公里范围内,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,important_tributary,character varying,所属重要支流,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,is_chemical_park,character varying,是否为化工园区,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,park_development_status,character varying,园区发展现状,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,leading_industry,text,主导产业,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,total_industrial_output_value_10k_yuan,character varying,调度期内工业总产值（万元）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,industrial_value_added_10k_yuan,character varying,调度期内工业增加值（万元）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,industrial_land_area_sqkm,character varying,工业用地面积（平方千米）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,enterprises_above_designated_count,character varying,规上企业数量（个）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,cumulative_investment_wastewater_treatment_10k_yuan,character varying,工业园区对污水集中处理设施累计投资（万元）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,cumulative_investment_sewer_network_10k_yuan,character varying,工业园区对污水管网累计投资（万元）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,sewer_network_length_km,character varying,污水管网长度（千米）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,new_sewer_network_length_km,character varying,新增管网长度（千米）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,park_drainage_status,character varying,工业园区排水现状,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,sewer_inspection_rectification_since_2020,text,2020年以来污水管网排查整治情况管网排查情况,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,sewer_inspection_length_km,character varying,管网排查长度（千米）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,treatment_facility_name,character varying,污水处理设施名称,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,pollution_discharge_permit_code,character varying,排污许可证编码,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,treatment_facility_type,character varying,污水处理设施类型,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,treatment_cost_yuan_per_ton,character varying,吨水处理费用（元/吨）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,is_industrial_wastewater_pipe_access_assessment,character varying,（排入城镇污水集中处理设施）是否开展园区工业废水纳管评估,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,designed_treatment_capacity_10k_tons_per_day,character varying,设计处理能力（万吨/日）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,actual_treatment_volume_10k_tons,character varying,实际处理水量（万吨）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,treatment_process_name,character varying,污水处理工艺名称,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,designed_influent_cod_mg_l,character varying,设计进水浓度（COD）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,designed_influent_ammonia_nitrogen_mg_l,character varying,设计进水浓度（氨氮）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,influent_cod_daily_avg_mg_l,character varying,进水COD日均值（mg/L）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,influent_ammonia_nitrogen_daily_avg_mg_l,character varying,进水氨氮日均值（mg/L）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,influent_total_nitrogen_daily_avg_mg_l,character varying,进水总氮日均值（mg/L）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,influent_total_phosphorus_daily_avg_mg_l,character varying,进水总磷日均值（mg/L）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,effluent_cod_daily_avg_mg_l,character varying,出水COD日均值（mg/L）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,effluent_ammonia_nitrogen_daily_avg_mg_l,character varying,出水氨氮日均值（mg/L）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,effluent_total_nitrogen_daily_avg_mg_l,character varying,出水总氮日均值（mg/L）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,effluent_total_phosphorus_daily_avg_mg_l,character varying,出水总磷日均值（mg/L）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,is_key_pollution_source,character varying,是否重点排污单位,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,ecology_dept_networking_influent_effluent,character varying,与生态环境部门联网情况（进出水）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,auto_monitoring_system_level,character varying,重点污染源自动监控系统（部、省、市、县）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,auto_monitoring_compliance_rate_pct,character varying,自动在线监控达标率（%）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,manual_monitoring_compliance_rate_pct,character varying,手工监测达标率（%）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,exceedance_factor_and_multiplier,character varying,超标因子及超标倍数,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,exceedance_days,character varying,超标天数,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,exceedance_reason,text,超标原因,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,treatment_plant_power_consumption_kwh,character varying,污水厂耗电量,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,is_photovoltaic_station_built,character varying,是否建设光伏电站,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,chemical_addition_type,character varying,药剂添加类型,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,chemical_addition_quantity_tons,character varying,药剂添加数量（吨）,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,is_precision_aeration,character varying,是否精准曝气,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,is_negotiated_pipe_access_standard,character varying,园区企业与污水处理厂是否协商制定纳管标准,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
rs_industrial_info_yc,system_issues,text,系统上存在的问题,工业园区环境监测数据表,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
