table_schema,table_name,column_name,data_type,column_comment,table_comment,source,training_status,risk_level,reason
public,cf_auto_build_flag,del_flag,character,删除标记：0 未删除、1 已删除,主键id,existing_comment,candidate_with_conflict_warning,medium,字段名 del_flag 在库内其他表中存在不同注释（12种）。保留原始注释，训练时需带表上下文。
public,day_quality_records,id,bigint,主键id,日质控数据,existing_comment,candidate_with_conflict_warning,medium,字段名 id 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,day_quality_records,station_id,bigint,站点id,日质控数据,existing_comment,candidate_with_conflict_warning,medium,字段名 station_id 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,day_quality_records,type,character,类型：0 零点核查数据、1 跨度核查数据,日质控数据,existing_comment,candidate_with_conflict_warning,medium,字段名 type 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,day_quality_records,span_value5,double precision,氨氮仪器跨度值,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,check_value5,double precision,氨氮零点/跨度核查数据,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,standard_value5,double precision,氨氮标准样浓度,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,monitor_time5,timestamp without time zone,氨氮监测时间,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,span_value6,double precision,高锰酸盐指数仪器跨度值,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,check_value6,double precision,高锰酸盐指数零点/跨度核查数据,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,standard_value6,double precision,高锰酸盐指数标准样浓度,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,monitor_time6,timestamp without time zone,高锰酸盐指数监测时间,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,span_value7,double precision,总磷仪器跨度值,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,check_value7,double precision,总磷零点/跨度核查数据,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,standard_value7,double precision,总磷标准样浓度,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,monitor_time7,timestamp without time zone,总磷监测时间,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,span_value8,double precision,总氮仪器跨度值,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,check_value8,double precision,总氮零点/跨度核查数据,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,standard_value8,double precision,总氮标准样浓度,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,monitor_time8,timestamp without time zone,总氮监测时间,日质控数据,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_records,monitor_time,timestamp without time zone,最新时间,日质控数据,existing_comment,candidate_with_conflict_warning,medium,字段名 monitor_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,day_quality_records,create_by,bigint,创建人,日质控数据,existing_comment,candidate_with_conflict_warning,medium,字段名 create_by 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,day_quality_records,create_time,timestamp without time zone,创建时间,日质控数据,existing_comment,candidate_with_conflict_warning,medium,字段名 create_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,day_quality_records,update_by,bigint,更新人,日质控数据,existing_comment,candidate_with_conflict_warning,medium,字段名 update_by 在库内其他表中存在不同注释（5种）。保留原始注释，训练时需带表上下文。
public,day_quality_records,update_time,timestamp without time zone,更新时间,日质控数据,existing_comment,candidate_with_conflict_warning,medium,字段名 update_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,day_quality_records,del_flag,character,删除标记：0 未删除、1 已删除,日质控数据,existing_comment,candidate_with_conflict_warning,medium,字段名 del_flag 在库内其他表中存在不同注释（12种）。保留原始注释，训练时需带表上下文。
public,day_quality_setting,id,bigint,主键id,日质控设置,existing_comment,candidate_with_conflict_warning,medium,字段名 id 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,day_quality_setting,station_id,bigint,站点id,日质控设置,existing_comment,candidate_with_conflict_warning,medium,字段名 station_id 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,day_quality_setting,indicator_code,character varying,监测指标编号,日质控设置,existing_comment,candidate_with_conflict_warning,medium,字段名 indicator_code 在库内其他表中存在不同注释（3种）。保留原始注释，训练时需带表上下文。
public,day_quality_setting,audit_by,bigint,审核人,日质控设置,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_setting,audit_time,timestamp without time zone,审核时间,日质控设置,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,day_quality_setting,create_by,bigint,创建人,日质控设置,existing_comment,candidate_with_conflict_warning,medium,字段名 create_by 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,day_quality_setting,create_time,timestamp without time zone,创建时间,日质控设置,existing_comment,candidate_with_conflict_warning,medium,字段名 create_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,day_quality_setting,update_by,bigint,更新人,日质控设置,existing_comment,candidate_with_conflict_warning,medium,字段名 update_by 在库内其他表中存在不同注释（5种）。保留原始注释，训练时需带表上下文。
public,day_quality_setting,update_time,timestamp without time zone,更新时间,日质控设置,existing_comment,candidate_with_conflict_warning,medium,字段名 update_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,day_quality_setting,del_flag,character,删除标记：0 未删除、1 已删除,日质控设置,existing_comment,candidate_with_conflict_warning,medium,字段名 del_flag 在库内其他表中存在不同注释（12种）。保留原始注释，训练时需带表上下文。
public,dc_survey_app,id,bigint,主键ID,APP安装包版本管理表,existing_comment,candidate_with_conflict_warning,medium,字段名 id 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,dc_survey_app,version_code,character varying,APP版本号：V1.0.0、1.0.0、100,APP安装包版本管理表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_app,version_name,character varying,APP版本名称: 如果有多个APP保证每一类名称一致,APP安装包版本管理表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_app,update_type,smallint,更新类型：1-强制更新，2-可选更新,APP安装包版本管理表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_app,download_url,character varying,安装包下载地址,APP安装包版本管理表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_app,file_size,bigint,安装包文件大小（字节）,APP安装包版本管理表,existing_comment,candidate_with_conflict_warning,medium,字段名 file_size 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_app,file_md5,character varying,安装包MD5值，用于校验文件完整性,APP安装包版本管理表,existing_comment,candidate_with_conflict_warning,medium,字段名 file_md5 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_app,update_log,text,更新日志,APP安装包版本管理表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_app,platform_type,smallint,平台类型：1-Android，2-iOS,APP安装包版本管理表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_app,create_by,bigint,创建人,APP安装包版本管理表,existing_comment,candidate_with_conflict_warning,medium,字段名 create_by 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,dc_survey_app,create_time,timestamp without time zone,创建时间,APP安装包版本管理表,existing_comment,candidate_with_conflict_warning,medium,字段名 create_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,id,bigint,主键ID,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 id 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,watershed_partition_id,bigint,流域分区ID,巡回调查-调查后的核查信息,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_info,title,character varying,标题：对应调研的名称,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 title 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,upload_time,character varying,上传时间：每次上传都记录时间  20251128,巡回调查-调查后的核查信息,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_info,name,character varying,名称,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 name 在库内其他表中存在不同注释（14种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,type,character varying,类型（工业、规上畜禽、规下畜禽、水产养殖、排污口、污水处理厂、厕污垃、河道情况、其他）,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 type 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,lon,double precision,经度,巡回调查-调查后的核查信息,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_info,lat,double precision,纬度,巡回调查-调查后的核查信息,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_info,description,character varying,现场核查情况信息（是否有污水产生、污水流向）,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 description 在库内其他表中存在不同注释（6种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,image_path,character varying,图片地址：图片在minIO存储,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 image_path 在库内其他表中存在不同注释（3种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,monitor_info,character varying,监测信息（是否监测，结果如何）,巡回调查-调查后的核查信息,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_info,monitor_level,character varying,管控级别：一级（常年有水，肯定对水体有影响），二级（下雨时肯定对水体影响），三级（可能有影响），四级（无影响）,巡回调查-调查后的核查信息,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_info,remark,character varying,备注,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 remark 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,create_by,bigint,创建人,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 create_by 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,create_time,timestamp without time zone,创建时间,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 create_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,update_by,bigint,更新人,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 update_by 在库内其他表中存在不同注释（5种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,update_time,timestamp without time zone,更新时间,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 update_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,del_flag,character,删除标记：0 未删除、1 已删除,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 del_flag 在库内其他表中存在不同注释（12种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,survey_type,smallint,调查类型：0-excel调查信息、1-word小结,巡回调查-调查后的核查信息,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_info,image_path_2,character varying,图片2,巡回调查-调查后的核查信息,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_info,image_path_3,character varying,图片3,巡回调查-调查后的核查信息,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_info,task_id,bigint,APP巡查：任务id,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 task_id 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,dc_survey_info,task_instance_id,bigint,APP巡查：巡查任务实例id,巡回调查-调查后的核查信息,existing_comment,candidate_with_conflict_warning,medium,字段名 task_instance_id 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_sync,id,bigint,主键,离线同步任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 id 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_sync,cache_id,character varying,缓存ID：APP端维护，用于关联提交数据,离线同步任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 cache_id 在库内其他表中存在不同注释（3种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_sync,sync_status,integer,同步状态：0-待同步，1-同步中，2-同步成功，3-同步失败,离线同步任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_sync,sync_progress,integer,同步进度：0-100,离线同步任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_sync,total_steps,integer,总步骤数,离线同步任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_sync,current_step,integer,当前步骤,离线同步任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_sync,sync_start_time,timestamp without time zone,同步开始时间,离线同步任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_sync,sync_end_time,timestamp without time zone,同步结束时间,离线同步任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_sync,task_id,bigint,任务ID：关联的巡查任务ID,离线同步任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 task_id 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_sync,sync_result,character varying,同步结果信息,离线同步任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_sync,error_message,text,错误信息,离线同步任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_sync,create_by,bigint,创建人,离线同步任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 create_by 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_sync,create_time,timestamp without time zone,创建时间,离线同步任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 create_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_sync,del_flag,character varying,删除标记：0 未删除、1 已删除,离线同步任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 del_flag 在库内其他表中存在不同注释（12种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_upload,id,bigint,主键ID,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_with_conflict_warning,medium,字段名 id 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_upload,cache_id,character varying,缓存ID：与离线同步任务的cacheId对应，用于批量文件管理,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_with_conflict_warning,medium,字段名 cache_id 在库内其他表中存在不同注释（3种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_upload,file_md5,character varying,文件标识：MD5值，用于唯一标识文件和完整性校验,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_with_conflict_warning,medium,字段名 file_md5 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_upload,file_type,character varying,文件类型：json-JSON数据文件，image-图片文件,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_upload,file_name,character varying,文件名,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_upload,file_size,bigint,文件总大小：字节,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_with_conflict_warning,medium,字段名 file_size 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_upload,uploaded_size,bigint,已上传大小：字节,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_upload,total_chunks,integer,总分块数,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_upload,uploaded_chunks,text,已上传分块列表：JSON数组，记录已完成的分块序号,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_upload,file_path,character varying,文件存储路径：上传完成后的完整路径,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_with_conflict_warning,medium,字段名 file_path 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_upload,upload_status,smallint,上传状态：0-待上传，1-上传中，2-上传完成，3-合并失败,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_upload,message,text,执行信息：错误日志,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_offline_upload,create_by,bigint,创建人,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_with_conflict_warning,medium,字段名 create_by 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_upload,create_time,timestamp without time zone,创建时间,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_with_conflict_warning,medium,字段名 create_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_upload,update_time,timestamp without time zone,更新时间,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_with_conflict_warning,medium,字段名 update_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_offline_upload,clean_flag,character,本地文件清理标记：0 未删除、1 已删除,文件上传缓存表 - 支持断点续传和本地文件缓存,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_task,id,bigint,主键,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 id 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,title,character varying,巡查标题,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 title 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,survey_time,character varying,巡查时间: yyyyMMdd,巡查任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_task,watershed_partition_id,bigint,流域分区ID,巡查任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_task,status,integer,"任务状态: 0-进行中, 1-已暂停, 2-已结束",巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 status 在库内其他表中存在不同注释（16种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,point_count,integer,点位数量,巡查任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_task,remark,character varying,备注,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 remark 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,create_by,bigint,创建人,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 create_by 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,create_time,timestamp without time zone,创建时间,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 create_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,update_by,bigint,更新人,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 update_by 在库内其他表中存在不同注释（5种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,update_time,timestamp without time zone,更新时间,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 update_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,del_flag,character varying,删除标记：0 未删除、1 已删除,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 del_flag 在库内其他表中存在不同注释（12种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,image_count,integer,照片数量,巡查任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_task,duration,bigint,巡查时长: 单位秒,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 duration 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,distance,numeric,巡查距离: 单位km,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 distance 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task,current_point_count,integer,本次巡查点位数量: 重新开启后自动清零,巡查任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_task,update_name,character varying,更新人名称：当前巡查人员,巡查任务表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_task,cache_id,character varying,本地缓存ID：APP端维护,巡查任务表,existing_comment,candidate_with_conflict_warning,medium,字段名 cache_id 在库内其他表中存在不同注释（3种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task_instance,id,bigint,主键,任务实例：记录轨迹、点位的添加,existing_comment,candidate_with_conflict_warning,medium,字段名 id 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task_instance,task_id,bigint,任务ID,任务实例：记录轨迹、点位的添加,existing_comment,candidate_with_conflict_warning,medium,字段名 task_id 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task_instance,start_time,timestamp without time zone,执行开始时间,任务实例：记录轨迹、点位的添加,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_task_instance,end_time,timestamp without time zone,执行结束时间,任务实例：记录轨迹、点位的添加,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_task_instance,duration,bigint,执行时长（秒）,任务实例：记录轨迹、点位的添加,existing_comment,candidate_with_conflict_warning,medium,字段名 duration 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_task_instance,create_time,timestamp without time zone,创建时间,任务实例：记录轨迹、点位的添加,existing_comment,candidate_with_conflict_warning,medium,字段名 create_time 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
public,dc_survey_track,id,bigint,主键,巡查轨迹记录表,existing_comment,candidate_with_conflict_warning,medium,字段名 id 在库内其他表中存在不同注释（10种）。保留原始注释，训练时需带表上下文。
public,dc_survey_track,task_id,bigint,巡查任务ID,巡查轨迹记录表,existing_comment,candidate_with_conflict_warning,medium,字段名 task_id 在库内其他表中存在不同注释（4种）。保留原始注释，训练时需带表上下文。
public,dc_survey_track,lat,double precision,纬度,巡查轨迹记录表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_track,lon,double precision,经度,巡查轨迹记录表,existing_comment,candidate_safe,low,字段已有注释，无同名字段冲突，可安全纳入训练候选。
public,dc_survey_track,distance,numeric,距离上一个点的距离（米）,巡查轨迹记录表,existing_comment,candidate_with_conflict_warning,medium,字段名 distance 在库内其他表中存在不同注释（2种）。保留原始注释，训练时需带表上下文。
