object_type,schema_name,table_name,column_name,data_type,candidate_comment,suggested_decision,human_decision,sql_generated,risk_note
column,public,gis_ecologicalregion,human_activities,character varying(255),人类活动影响描述,suggest_approve,approve,yes,
column,public,gis_ecologicalregion,environment_problems,character varying(255),生态环境问题描述,suggest_approve,approve,yes,
column,public,gis_ecologicalregion,control_measures,character varying(255),管控措施描述,suggest_approve,approve,yes,
column,public,gis_headwaters,water_intake_quantity,double precision,年取水量,suggest_approve,approve,yes,
column,public,gis_headwaters,water_supply_population,bigint,供水人口数,suggest_approve,approve,yes,
column,public,gis_headwaters,is_protect_region,character(1),是否在保护区范围内,suggest_approve,approve,yes,
column,public,gis_naturereserve,department,character varying(100),主管部门,suggest_approve,approve,yes,
column,public,gis_naturereserve,protect_target,character varying(255),主要保护对象,suggest_approve,approve,yes,
column,public,gis_naturereserve,manage_org_name,character varying(100),管理机构名称,suggest_approve,approve,yes,
column,public,gis_naturereserve,manage_org_type,character varying(8),管理机构类型,suggest_approve,approve,yes,
column,public,gis_naturereserve,manage_org_level,character varying(8),管理机构级别,suggest_approve,approve,yes,
column,public,gis_naturereserve,first_protect_animals,character varying(255),国家一级保护动物,suggest_approve,approve,yes,
column,public,gis_naturereserve,second_protect_animals,character varying(255),国家二级保护动物,suggest_approve,approve,yes,
column,public,gis_naturereserve,first_protect_plants,character varying(255),国家一级保护植物,suggest_approve,approve,yes,
column,public,gis_naturereserve,second_protect_plants,character varying(255),国家二级保护植物,suggest_approve,approve,yes,
column,public,gis_region,region_level,character varying(4),区划级别,suggest_approve,approve,yes,
column,public,gis_region,parent_code,character varying(60),父级区划编码,suggest_approve,approve,yes,
column,public,gis_region_population,city_population,double precision,城镇人口,suggest_approve,approve,yes,
column,public,gis_region_population,city_area,double precision,城镇面积,suggest_approve,approve,yes,
column,public,gis_region_population,city_quantity,double precision,城镇数量,suggest_approve,approve,yes,
column,public,gis_region_population,rural_population,double precision,农村人口,suggest_approve,approve,yes,
column,public,gis_region_population,rural_area,double precision,农村面积,suggest_approve,approve,yes,
column,public,gis_region_population,rural_quantity,double precision,农村数量,suggest_approve,approve,yes,
column,public,gis_watershed_partition_4,poly_area,double precision,多边形面积,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,cc,character varying(8),行政区划编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,gb,character varying(16),国标编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,bas,character varying(16),流域编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,period,character varying(16),时期/阶段,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,wq,character varying(8),水质类别,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,aheight,double precision,坝高,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,parea,double precision,永久占地面积,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,ec,character varying(16),生态分区编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,grade,character varying(8),等级/级别,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,mheight,double precision,最大坝高,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,sdtf,character varying(4),水系特征码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,shrc,character varying(64),所属河湖编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,vol,double precision,库容,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,featid,character varying(16),要素唯一标识,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,areacode,bigint,行政区划代码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,changetype,integer,变更类型,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,shape_leng,double precision,要素长度,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial,shape_area,double precision,要素面积,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,cc,character varying(8),行政区划编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,gb,character varying(16),国标编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,bas,character varying(16),流域编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,period,character varying(16),时期/阶段,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,wq,character varying(8),水质类别,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,aheight,double precision,坝高,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,parea,double precision,永久占地面积,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,ec,character varying(16),生态分区编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,grade,character varying(8),等级/级别,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,mheight,double precision,最大坝高,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,sdtf,character varying(4),水系特征码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,shrc,character varying(64),所属河湖编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,vol,double precision,库容,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,featid,character varying(16),要素唯一标识,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,areacode,bigint,行政区划代码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_label,changetype,integer,变更类型,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,cc,character varying(8),行政区划编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,gb,character varying(16),国标编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,bas,character varying(16),流域编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,period,character varying(16),时期/阶段,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,wq,character varying(8),水质类别,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,aheight,double precision,坝高,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,parea,double precision,永久占地面积,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,ec,character varying(16),生态分区编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,grade,character varying(8),等级/级别,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,mheight,double precision,最大坝高,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,sdtf,character varying(4),水系特征码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,shrc,character varying(64),所属河湖编码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,vol,double precision,库容,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,featid,character varying(16),要素唯一标识,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,areacode,bigint,行政区划代码,suggest_approve,approve,yes,
column,public,layer_reservoir_provincial_合并,changetype,integer,变更类型,suggest_approve,approve,yes,
column,public,layer_river_provincial,cc,character varying(8),行政区划编码,suggest_approve,approve,yes,
column,public,layer_river_provincial,gb,character varying(16),国标编码,suggest_approve,approve,yes,
column,public,layer_river_provincial,bas,character varying(16),流域编码,suggest_approve,approve,yes,
column,public,layer_river_provincial,ec,character varying(16),生态分区编码,suggest_approve,approve,yes,
column,public,layer_river_provincial,grade,character varying(8),等级/级别,suggest_approve,approve,yes,
column,public,layer_river_provincial,period,character varying(16),时期/阶段,suggest_approve,approve,yes,
column,public,layer_river_provincial,shrc,character varying(64),所属河湖编码,suggest_approve,approve,yes,
column,public,layer_river_provincial,sdtf,character varying(4),水系特征码,suggest_approve,approve,yes,
column,public,layer_river_provincial,featid,character varying(16),要素唯一标识,suggest_approve,approve,yes,
column,public,layer_river_provincial,areacode,bigint,行政区划代码,suggest_approve,approve,yes,
column,public,layer_river_provincial,changetype,integer,变更类型,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,cc,character varying(8),行政区划编码,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,gb,character varying(16),国标编码,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,bas,character varying(16),流域编码,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,ec,character varying(16),生态分区编码,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,grade,character varying(8),等级/级别,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,period,character varying(16),时期/阶段,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,shrc,character varying(64),所属河湖编码,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,sdtf,character varying(4),水系特征码,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,featid,character varying(16),要素唯一标识,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,areacode,bigint,行政区划代码,suggest_approve,approve,yes,
column,public,layer_river_provincial_bak0617,changetype,integer,变更类型,suggest_approve,approve,yes,
column,public,metadata_view,aliasname,character varying(255),别名,suggest_approve,approve,yes,
column,public,metadata_view,LayerName,character varying(255),图层名称,suggest_approve,approve,yes,
column,public,metadata_view,LayerType,character varying(255),图层类型,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,winddirect_10m_24h,double precision,10米风向（24小时平均）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,winddirect8_10m_24h,character varying(16),10米8方位风向（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,winddirect16_10m_24h,character varying(16),10米16方位风向（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,hum_2m_24h,double precision,2米湿度（24小时平均）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,hum_2m_24h_min,double precision,2米湿度最小值（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,hum_2m_24h_max,double precision,2米湿度最大值（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,stapress_24h,double precision,地面气压（24小时平均）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,pressure_24h,double precision,海平面气压（24小时平均）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,p850inver_24h,double precision,850hPa逆温层高度（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,p925inver_24h,double precision,925hPa逆温层高度（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,swdown_24h,double precision,短波辐射通量（24小时平均）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,glw_24h,double precision,长波辐射通量（24小时平均）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,height_24h,double precision,边界层高度（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,rain_24h_total,double precision,24小时总降雨量,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,dewpoint_24h,double precision,露点温度（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,lowcloud_24h,double precision,低云量（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,midcloud_24h,double precision,中云量（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,highcloud_24h,double precision,高云量（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,totalcloud_24h,double precision,总云量（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,tem_2m_24h,double precision,2米温度（24小时平均）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,tem_2m_24h_min,double precision,2米温度最小值（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,tem_2m_24h_max,double precision,2米温度最大值（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,visib_24h,double precision,能见度（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,pbl_24h,double precision,行星边界层高度（24小时平均）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,pbl_24h_min,double precision,行星边界层高度最小值（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,pbl_24h_max,double precision,行星边界层高度最大值（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,windspeed_10m_24h,double precision,10米风速（24小时平均）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,windspeed_10m_24h_min,double precision,10米风速最小值（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_day_records,windspeed_10m_24h_max,double precision,10米风速最大值（24小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,winddirect_10m_1h,double precision,10米风向（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,winddirect8_10m_1h,character varying(16),10米8方位风向（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,winddirect16_10m_1h,character varying(16),10米16方位风向（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,windspeed_10m_1h,double precision,10米风速（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,tem_2m_1h,double precision,2米温度（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,hum_2m_1h,double precision,2米湿度（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,dewpoint_1h,double precision,露点温度（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,dtem_2m_1h,double precision,2米温度1小时变化,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,dtem_2m_3h,double precision,2米温度3小时变化,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,dtem_2m_6h,double precision,2米温度6小时变化,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,dtem_2m_12h,double precision,2米温度12小时变化,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,dtem_2m_24h,double precision,2米温度24小时变化,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,rain_1h,double precision,小时降雨量,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,rain_3h,double precision,3小时累计降雨量,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,rain_6h,double precision,6小时累计降雨量,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,rain_12h,double precision,12小时累计降雨量,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,rain_24h,double precision,24小时累计降雨量,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,lowcloud_1h,double precision,低云量（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,midcloud_1h,double precision,中云量（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,highcloud_1h,double precision,高云量（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,totalcloud_1h,double precision,总云量（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,pbl_1h,double precision,行星边界层高度（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,height_1h,double precision,边界层高度（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,pressure_1h,double precision,海平面气压（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,stapress_1h,double precision,地面气压（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,glw_1h,double precision,长波辐射通量（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,swdown_1h,double precision,短波辐射通量（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,p850inver_1h,double precision,850hPa逆温层高度（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,p925inver_1h,double precision,925hPa逆温层高度（小时）,suggest_approve,approve,yes,
column,public,wh_meteorological_predict_hour_records,visib_1h,double precision,能见度（小时）,suggest_approve,approve,yes,
column,public,wm_hydrological_info,last_maintenance_time,date,最近维护时间,suggest_approve,approve,yes,
column,public,wm_meteorological_info,last_maintenance_time,date,最近维护时间,suggest_approve,approve,yes,
column,public,wm_raster_inversion_config,type_code,bigint,反演类型编码,suggest_approve,approve,yes,
column,public,wm_station_info,last_maintenance_time,date,最近维护时间,suggest_approve,approve,yes,
column,public,wm_waterbody_info,water_body_function,character varying(255),水体功能类别,suggest_approve,approve,yes,
column,public,wm_waterbody_info,basin,character varying(255),所在流域,suggest_approve,approve,yes,
column,public,wm_waterbody_info,start_village,character varying(255),起点村/社区,suggest_approve,approve,yes,
column,public,wm_waterbody_info,end_village,character varying(255),终点村/社区,suggest_approve,approve,yes,
column,public,wm_waterbody_info,up_stream,character varying(255),上游水体,suggest_approve,approve,yes,
column,public,wm_waterbody_info,down_stream,character varying(255),下游水体,suggest_approve,approve,yes,
column,public,wst_asset_trace_snap,snap_distance_m,"numeric(18,3)",吸附距离（米）,suggest_approve,approve,yes,
column,public,wst_asset_type_dict,asset_group,character varying(100),资产分组编码,suggest_approve,approve,yes,
column,public,wst_asset_type_dict,asset_group_name,character varying(100),资产分组名称,suggest_approve,approve,yes,
column,public,wst_asset_type_dict,group_sort,integer,分组排序号,suggest_approve,approve,yes,
column,public,wst_asset_type_dict,group_description,text,分组描述,suggest_approve,approve,yes,
column,public,wst_layer_river,next_down,bigint,下游河流ID,suggest_approve,approve,yes,
column,public,wst_layer_river,river_class,character varying(64),河流类别,suggest_approve,approve,yes,
column,public,wst_layer_river,length_km,numeric,河流长度（公里）,suggest_approve,approve,yes,
column,public,wst_layer_river,from_z,numeric,起点高程,suggest_approve,approve,yes,
column,public,wst_layer_river,to_z,numeric,终点高程,suggest_approve,approve,yes,
column,public,wst_trace_edge,direction_status,character varying(64),流向状态,suggest_approve,approve,yes,
column,public,wst_trace_topology_issue,issue_type,character varying(64),问题类型,suggest_approve,approve,yes,
column,public,wst_trace_topology_issue,issue_name,character varying(128),问题名称,suggest_approve,approve,yes,
column,public,wst_trace_topology_issue,issue_level,character varying(32),问题级别,suggest_approve,approve,yes,
column,public,wst_trace_topology_issue,object_type,character varying(64),关联对象类型,suggest_approve,approve,yes,
column,public,wst_trace_topology_issue,object_id,bigint,关联对象ID,suggest_approve,approve,yes,
column,public,wst_trace_topology_issue,object_name,character varying(255),关联对象名称,suggest_approve,approve,yes,
column,public,wst_trace_topology_issue,issue_desc,text,问题详细描述,suggest_approve,approve,yes,
column,public,wst_trace_topology_issue,metadata_json,jsonb,元数据JSON,suggest_approve,approve,yes,
