table_name,column_name,candidate_comment,had_comment_before,execution_status
layer_river_provincial_bak0617,gb,国标编码,(EMPTY),SUCCESS
layer_river_provincial_bak0617,bas,流域编码,(EMPTY),SUCCESS
layer_river_provincial_bak0617,ec,生态分区编码,(EMPTY),SUCCESS
layer_river_provincial_bak0617,grade,等级/级别,(EMPTY),SUCCESS
layer_river_provincial_bak0617,period,时期/阶段,(EMPTY),SUCCESS
layer_river_provincial_bak0617,shrc,所属河湖编码,(EMPTY),SUCCESS
layer_river_provincial_bak0617,sdtf,水系特征码,(EMPTY),SUCCESS
layer_river_provincial_bak0617,featid,要素唯一标识,(EMPTY),SUCCESS
layer_river_provincial_bak0617,areacode,行政区划代码,(EMPTY),SUCCESS
layer_river_provincial_bak0617,changetype,变更类型,(EMPTY),SUCCESS
metadata_view,aliasname,别名,(EMPTY),SUCCESS
metadata_view,LayerName,图层名称,(EMPTY),SUCCESS
metadata_view,LayerType,图层类型,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,winddirect_10m_24h,10米风向（24小时平均）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,winddirect8_10m_24h,10米8方位风向（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,winddirect16_10m_24h,10米16方位风向（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,hum_2m_24h,2米湿度（24小时平均）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,hum_2m_24h_min,2米湿度最小值（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,hum_2m_24h_max,2米湿度最大值（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,stapress_24h,地面气压（24小时平均）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,pressure_24h,海平面气压（24小时平均）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,p850inver_24h,850hPa逆温层高度（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,p925inver_24h,925hPa逆温层高度（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,swdown_24h,短波辐射通量（24小时平均）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,glw_24h,长波辐射通量（24小时平均）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,height_24h,边界层高度（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,rain_24h_total,24小时总降雨量,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,dewpoint_24h,露点温度（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,lowcloud_24h,低云量（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,midcloud_24h,中云量（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,highcloud_24h,高云量（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,totalcloud_24h,总云量（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,tem_2m_24h,2米温度（24小时平均）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,tem_2m_24h_min,2米温度最小值（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,tem_2m_24h_max,2米温度最大值（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,visib_24h,能见度（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,pbl_24h,行星边界层高度（24小时平均）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,pbl_24h_min,行星边界层高度最小值（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,pbl_24h_max,行星边界层高度最大值（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,windspeed_10m_24h,10米风速（24小时平均）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,windspeed_10m_24h_min,10米风速最小值（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_day_records,windspeed_10m_24h_max,10米风速最大值（24小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,winddirect_10m_1h,10米风向（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,winddirect8_10m_1h,10米8方位风向（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,winddirect16_10m_1h,10米16方位风向（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,windspeed_10m_1h,10米风速（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,tem_2m_1h,2米温度（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,hum_2m_1h,2米湿度（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,dewpoint_1h,露点温度（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,dtem_2m_1h,2米温度1小时变化,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,dtem_2m_3h,2米温度3小时变化,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,dtem_2m_6h,2米温度6小时变化,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,dtem_2m_12h,2米温度12小时变化,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,dtem_2m_24h,2米温度24小时变化,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,rain_1h,小时降雨量,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,rain_3h,3小时累计降雨量,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,rain_6h,6小时累计降雨量,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,rain_12h,12小时累计降雨量,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,rain_24h,24小时累计降雨量,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,lowcloud_1h,低云量（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,midcloud_1h,中云量（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,highcloud_1h,高云量（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,totalcloud_1h,总云量（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,pbl_1h,行星边界层高度（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,height_1h,边界层高度（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,pressure_1h,海平面气压（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,stapress_1h,地面气压（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,glw_1h,长波辐射通量（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,swdown_1h,短波辐射通量（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,p850inver_1h,850hPa逆温层高度（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,p925inver_1h,925hPa逆温层高度（小时）,(EMPTY),SUCCESS
wh_meteorological_predict_hour_records,visib_1h,能见度（小时）,(EMPTY),SUCCESS
wm_hydrological_info,last_maintenance_time,最近维护时间,(EMPTY),SUCCESS
wm_meteorological_info,last_maintenance_time,最近维护时间,(EMPTY),SUCCESS
wm_raster_inversion_config,type_code,反演类型编码,(EMPTY),SUCCESS
wm_station_info,last_maintenance_time,最近维护时间,(EMPTY),SUCCESS
wm_waterbody_info,water_body_function,水体功能类别,(EMPTY),SUCCESS
wm_waterbody_info,basin,所在流域,(EMPTY),SUCCESS
wm_waterbody_info,start_village,起点村/社区,(EMPTY),SUCCESS
wm_waterbody_info,end_village,终点村/社区,(EMPTY),SUCCESS
wm_waterbody_info,up_stream,上游水体,(EMPTY),SUCCESS
wm_waterbody_info,down_stream,下游水体,(EMPTY),SUCCESS
wst_asset_trace_snap,snap_distance_m,吸附距离（米）,(EMPTY),SUCCESS
wst_asset_type_dict,asset_group,资产分组编码,(EMPTY),SUCCESS
wst_asset_type_dict,asset_group_name,资产分组名称,(EMPTY),SUCCESS
wst_asset_type_dict,group_sort,分组排序号,(EMPTY),SUCCESS
wst_asset_type_dict,group_description,分组描述,(EMPTY),SUCCESS
wst_layer_river,next_down,下游河流ID,(EMPTY),SUCCESS
wst_layer_river,river_class,河流类别,(EMPTY),SUCCESS
wst_layer_river,length_km,河流长度（公里）,(EMPTY),SUCCESS
wst_layer_river,from_z,起点高程,(EMPTY),SUCCESS
wst_layer_river,to_z,终点高程,(EMPTY),SUCCESS
wst_trace_edge,direction_status,流向状态,(EMPTY),SUCCESS
wst_trace_topology_issue,issue_type,问题类型,(EMPTY),SUCCESS
wst_trace_topology_issue,issue_name,问题名称,(EMPTY),SUCCESS
wst_trace_topology_issue,issue_level,问题级别,(EMPTY),SUCCESS
wst_trace_topology_issue,object_type,关联对象类型,(EMPTY),SUCCESS
wst_trace_topology_issue,object_id,关联对象ID,(EMPTY),SUCCESS
wst_trace_topology_issue,object_name,关联对象名称,(EMPTY),SUCCESS
wst_trace_topology_issue,issue_desc,问题详细描述,(EMPTY),SUCCESS
wst_trace_topology_issue,metadata_json,元数据JSON,(EMPTY),SUCCESS
