object_type,schema_name,table_name,column_name,candidate_comment,had_comment_before,execution_status
column,public,gis_region_population,create_by,创建人,(EMPTY),SUCCESS
column,public,gis_region_population,create_time,创建时间,(EMPTY),SUCCESS
column,public,gis_region_population,update_by,修改人,(EMPTY),SUCCESS
column,public,gis_region_population,update_time,修改时间,(EMPTY),SUCCESS
column,public,gis_region_population,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,gis_region_township,id,主键ID,(EMPTY),SUCCESS
column,public,gis_region_township,geom,空间几何数据,(EMPTY),SUCCESS
column,public,gis_watershed_partition,id,主键ID,(EMPTY),SUCCESS
column,public,gis_watershed_partition_3,id,主键ID,(EMPTY),SUCCESS
column,public,gis_watershed_partition_3,geom,空间几何数据,(EMPTY),SUCCESS
column,public,gis_watershed_partition_4,id,主键ID,(EMPTY),SUCCESS
column,public,gis_watershed_partition_4,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_boundary_enterprise,id,主键ID,(EMPTY),SUCCESS
column,public,layer_boundary_enterprise,name,名称,(EMPTY),SUCCESS
column,public,layer_boundary_enterprise,code,编码,(EMPTY),SUCCESS
column,public,layer_boundary_enterprise,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_boundary_park,id,主键ID,(EMPTY),SUCCESS
column,public,layer_boundary_park,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_boundary_park,name,名称,(EMPTY),SUCCESS
column,public,layer_boundary_park,code,编码,(EMPTY),SUCCESS
column,public,layer_industrial_ghysgw,id,主键ID,(EMPTY),SUCCESS
column,public,layer_industrial_ghysgw,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_industrial_ghysgw,name,名称,(EMPTY),SUCCESS
column,public,layer_industrial_ghysgw,code,编码,(EMPTY),SUCCESS
column,public,layer_industrial_lsf,id,主键ID,(EMPTY),SUCCESS
column,public,layer_industrial_lsf,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_industrial_lsf,name,名称,(EMPTY),SUCCESS
column,public,layer_industrial_lsf,code,编码,(EMPTY),SUCCESS
column,public,layer_industrial_xzysgw,id,主键ID,(EMPTY),SUCCESS
column,public,layer_industrial_xzysgw,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_industrial_xzysgw,name,名称,(EMPTY),SUCCESS
column,public,layer_industrial_xzysgw,code,编码,(EMPTY),SUCCESS
column,public,layer_industrial_yjf,id,主键ID,(EMPTY),SUCCESS
column,public,layer_industrial_yjf,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_industrial_yjf,name,名称,(EMPTY),SUCCESS
column,public,layer_industrial_yjf,code,编码,(EMPTY),SUCCESS
column,public,layer_industrial_yjsgc,id,主键ID,(EMPTY),SUCCESS
column,public,layer_industrial_yjsgc,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_industrial_yjsgc,x,X坐标,(EMPTY),SUCCESS
column,public,layer_industrial_yjsgc,y,Y坐标,(EMPTY),SUCCESS
column,public,layer_industrial_yjsgc,name,名称,(EMPTY),SUCCESS
column,public,layer_industrial_yjsgc,code,编码,(EMPTY),SUCCESS
column,public,layer_industrial_ysc,id,主键ID,(EMPTY),SUCCESS
column,public,layer_industrial_ysc,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_industrial_ysc,x,X坐标,(EMPTY),SUCCESS
column,public,layer_industrial_ysc,y,Y坐标,(EMPTY),SUCCESS
column,public,layer_industrial_ysc,name,名称,(EMPTY),SUCCESS
column,public,layer_industrial_ysc,code,编码,(EMPTY),SUCCESS
column,public,layer_outlet_sewage,id,主键ID,(EMPTY),SUCCESS
column,public,layer_outlet_sewage,x,X坐标,(EMPTY),SUCCESS
column,public,layer_outlet_sewage,y,Y坐标,(EMPTY),SUCCESS
column,public,layer_outlet_sewage,name,名称,(EMPTY),SUCCESS
column,public,layer_outlet_sewage,code,编码,(EMPTY),SUCCESS
column,public,layer_outlet_sewage,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_partition_2,id,主键ID,(EMPTY),SUCCESS
column,public,layer_partition_2,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_partition_3,id,主键ID,(EMPTY),SUCCESS
column,public,layer_partition_3,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial,id,主键ID,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial,objectid,对象唯一标识,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial,name,名称,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial,type,类型,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial,length,长度,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial_label,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial_label,name,名称,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial_label,type,类型,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial_label,length,长度,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial_label,id,主键ID,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial_合并,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial_合并,name,名称,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial_合并,type,类型,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial_合并,length,长度,(EMPTY),SUCCESS
column,public,layer_reservoir_provincial_合并,id,主键ID,(EMPTY),SUCCESS
column,public,layer_river_provincial,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_river_provincial,type,类型,(EMPTY),SUCCESS
column,public,layer_river_provincial,length,长度,(EMPTY),SUCCESS
column,public,layer_river_provincial,width,宽度,(EMPTY),SUCCESS
column,public,layer_river_provincial,name,名称,(EMPTY),SUCCESS
column,public,layer_river_provincial,id,主键ID,(EMPTY),SUCCESS
column,public,layer_river_provincial_bak0617,id,主键ID,(EMPTY),SUCCESS
column,public,layer_river_provincial_bak0617,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_river_provincial_bak0617,type,类型,(EMPTY),SUCCESS
column,public,layer_river_provincial_bak0617,length,长度,(EMPTY),SUCCESS
column,public,layer_river_provincial_bak0617,width,宽度,(EMPTY),SUCCESS
column,public,layer_river_provincial_bak0617,name,名称,(EMPTY),SUCCESS
column,public,layer_section,id,主键ID,(EMPTY),SUCCESS
column,public,layer_section,x,X坐标,(EMPTY),SUCCESS
column,public,layer_section,y,Y坐标,(EMPTY),SUCCESS
column,public,layer_section,name,名称,(EMPTY),SUCCESS
column,public,layer_section,code,编码,(EMPTY),SUCCESS
column,public,layer_section,geom,空间几何数据,(EMPTY),SUCCESS
column,public,layer_watershed,id,主键ID,(EMPTY),SUCCESS
column,public,layer_watershed,name,名称,(EMPTY),SUCCESS
column,public,layer_watershed,code,编码,(EMPTY),SUCCESS
column,public,layer_watershed,geom,空间几何数据,(EMPTY),SUCCESS
column,public,metadata_view,code,编码,(EMPTY),SUCCESS
column,public,metadata_view,parent_id,父级ID,(EMPTY),SUCCESS
column,public,metadata_view,type,类型,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc,create_by,创建人,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc,create_time,创建时间,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc,update_by,修改人,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc,update_time,修改时间,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc_bak0305,id,主键ID,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc_bak0305,create_by,创建人,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc_bak0305,create_time,创建时间,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc_bak0305,update_by,修改人,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc_bak0305,update_time,修改时间,(EMPTY),SUCCESS
column,public,rs_industrial_info_yc_bak0305,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,rs_outlet_info_v2,id,主键ID,(EMPTY),SUCCESS
column,public,rs_outlet_info_v2,create_by,创建人,(EMPTY),SUCCESS
column,public,rs_outlet_info_v2,create_time,创建时间,(EMPTY),SUCCESS
column,public,rs_outlet_info_v2,update_by,修改人,(EMPTY),SUCCESS
column,public,rs_outlet_info_v2,update_time,修改时间,(EMPTY),SUCCESS
column,public,rs_outlet_info_v2,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,rs_outlet_live_v2,id,主键ID,(EMPTY),SUCCESS
column,public,rs_outlet_live_v2,create_by,创建人,(EMPTY),SUCCESS
column,public,rs_outlet_live_v2,create_time,创建时间,(EMPTY),SUCCESS
column,public,rs_outlet_live_v2,update_by,修改人,(EMPTY),SUCCESS
column,public,rs_outlet_live_v2,update_time,修改时间,(EMPTY),SUCCESS
column,public,rs_outlet_live_v2,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,rs_outlet_monitor_v2,id,主键ID,(EMPTY),SUCCESS
column,public,rs_outlet_monitor_v2,create_by,创建人,(EMPTY),SUCCESS
column,public,rs_outlet_monitor_v2,create_time,创建时间,(EMPTY),SUCCESS
column,public,rs_outlet_monitor_v2,update_by,修改人,(EMPTY),SUCCESS
column,public,rs_outlet_monitor_v2,update_time,修改时间,(EMPTY),SUCCESS
column,public,rs_outlet_monitor_v2,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,rs_outlet_remediation_v2,id,主键ID,(EMPTY),SUCCESS
column,public,rs_outlet_remediation_v2,create_by,创建人,(EMPTY),SUCCESS
column,public,rs_outlet_remediation_v2,create_time,创建时间,(EMPTY),SUCCESS
column,public,rs_outlet_remediation_v2,update_by,修改人,(EMPTY),SUCCESS
column,public,rs_outlet_remediation_v2,update_time,修改时间,(EMPTY),SUCCESS
column,public,rs_outlet_remediation_v2,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,rs_outlet_trace_v2,id,主键ID,(EMPTY),SUCCESS
column,public,rs_outlet_trace_v2,create_by,创建人,(EMPTY),SUCCESS
column,public,rs_outlet_trace_v2,create_time,创建时间,(EMPTY),SUCCESS
column,public,rs_outlet_trace_v2,update_by,修改人,(EMPTY),SUCCESS
column,public,rs_outlet_trace_v2,update_time,修改时间,(EMPTY),SUCCESS
column,public,rs_outlet_trace_v2,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,rs_sewage_info_v2,id,主键ID,(EMPTY),SUCCESS
column,public,rs_sewage_info_v2,create_by,创建人,(EMPTY),SUCCESS
column,public,rs_sewage_info_v2,create_time,创建时间,(EMPTY),SUCCESS
column,public,rs_sewage_info_v2,update_by,修改人,(EMPTY),SUCCESS
column,public,rs_sewage_info_v2,update_time,修改时间,(EMPTY),SUCCESS
column,public,rs_sewage_info_v2,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,rs_sewage_park_info,create_by,创建人,(EMPTY),SUCCESS
column,public,rs_sewage_park_info,create_time,创建时间,(EMPTY),SUCCESS
column,public,rs_sewage_park_info,update_by,修改人,(EMPTY),SUCCESS
column,public,rs_sewage_park_info,update_time,修改时间,(EMPTY),SUCCESS
column,public,rs_sewage_park_info,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,se_watershed,id,主键ID,(EMPTY),SUCCESS
column,public,spatial_ref_sys,srid,空间参考标识符,(EMPTY),SUCCESS
column,public,spatial_ref_sys,auth_name,空间参考系授权机构名称,(EMPTY),SUCCESS
column,public,spatial_ref_sys,auth_srid,空间参考系授权机构SRID,(EMPTY),SUCCESS
column,public,spatial_ref_sys,srtext,空间参考系WKT描述,(EMPTY),SUCCESS
column,public,spatial_ref_sys,proj4text,空间参考系Proj4描述,(EMPTY),SUCCESS
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,create_by,创建人,(EMPTY),SUCCESS
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,create_date,创建日期,(EMPTY),SUCCESS
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,update_by,修改人,(EMPTY),SUCCESS
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,update_date,修改日期,(EMPTY),SUCCESS
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_assessment_df,id,主键ID,(EMPTY),SUCCESS
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df,id,主键ID,(EMPTY),SUCCESS
column,public,stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df,geom,空间几何数据,(EMPTY),SUCCESS
column,public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,create_time,创建时间,(EMPTY),SUCCESS
column,public,stg_ycsjtysj_sxhyzssj_base_ship_df,create_time,创建时间,(EMPTY),SUCCESS
column,public,stg_ycsjtysj_sxhyzssj_base_ship_df,update_time,修改时间,(EMPTY),SUCCESS
column,public,wh_meteorological_predict_day_records,predictiontime,预测时间,(EMPTY),SUCCESS
column,public,wh_meteorological_predict_day_records,predictioninterval,预测间隔（小时）,(EMPTY),SUCCESS
column,public,wh_meteorological_predict_day_records,datadate,数据日期,(EMPTY),SUCCESS
column,public,wh_meteorological_predict_hour_records,predictiontime,预测时间,(EMPTY),SUCCESS
column,public,wh_meteorological_predict_hour_records,predictioninterval,预测间隔（小时）,(EMPTY),SUCCESS
column,public,wh_meteorological_predict_hour_records,datadate,数据日期,(EMPTY),SUCCESS
column,public,wm_camera_platform,id,主键ID,(EMPTY),SUCCESS
column,public,wm_hydrological_info,region_code,行政区划代码,(EMPTY),SUCCESS
column,public,wm_hydrological_info,geom,空间几何数据,(EMPTY),SUCCESS
column,public,wm_image_info,id,主键ID,(EMPTY),SUCCESS
column,public,wm_meteorological_info,region_code,行政区划代码,(EMPTY),SUCCESS
column,public,wm_meteorological_info,geom,空间几何数据,(EMPTY),SUCCESS
column,public,wm_raster_info,id,主键ID,(EMPTY),SUCCESS
column,public,wm_raster_inversion,id,主键ID,(EMPTY),SUCCESS
column,public,wm_raster_inversion_config,id,主键ID,(EMPTY),SUCCESS
column,public,wm_raster_inversion_config,name,名称,(EMPTY),SUCCESS
column,public,wm_raster_inversion_config,create_time,创建时间,(EMPTY),SUCCESS
column,public,wm_raster_inversion_config,update_time,修改时间,(EMPTY),SUCCESS
column,public,wm_raster_inversion_config,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,wm_station_info,region_code,行政区划代码,(EMPTY),SUCCESS
column,public,wm_station_info,geom,空间几何数据,(EMPTY),SUCCESS
column,public,wm_station_info_v2,create_by,创建人,(EMPTY),SUCCESS
column,public,wm_station_info_v2,create_time,创建时间,(EMPTY),SUCCESS
column,public,wm_station_info_v2,update_by,修改人,(EMPTY),SUCCESS
column,public,wm_station_info_v2,update_time,修改时间,(EMPTY),SUCCESS
column,public,wm_uav_info,id,主键ID,(EMPTY),SUCCESS
column,public,wm_water_intake,id,主键ID,(EMPTY),SUCCESS
column,public,wm_water_intake,geom,空间几何数据,(EMPTY),SUCCESS
column,public,wm_water_source,id,主键ID,(EMPTY),SUCCESS
column,public,wm_water_source,geom,空间几何数据,(EMPTY),SUCCESS
column,public,wm_water_source_bak0421,id,主键ID,(EMPTY),SUCCESS
column,public,wm_water_source_intake_v2,id,主键ID,(EMPTY),SUCCESS
column,public,wm_water_source_intake_v2,create_by,创建人,(EMPTY),SUCCESS
column,public,wm_water_source_intake_v2,create_time,创建时间,(EMPTY),SUCCESS
column,public,wm_water_source_intake_v2,update_by,修改人,(EMPTY),SUCCESS
column,public,wm_water_source_intake_v2,update_time,修改时间,(EMPTY),SUCCESS
column,public,wm_water_source_intake_v2,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,wm_water_source_zone_v2,id,主键ID,(EMPTY),SUCCESS
column,public,wm_water_source_zone_v2,create_by,创建人,(EMPTY),SUCCESS
column,public,wm_water_source_zone_v2,create_time,创建时间,(EMPTY),SUCCESS
column,public,wm_water_source_zone_v2,update_by,修改人,(EMPTY),SUCCESS
column,public,wm_water_source_zone_v2,update_time,修改时间,(EMPTY),SUCCESS
column,public,wm_water_source_zone_v2,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
column,public,wm_water_source_zone_v2,geom,空间几何数据,(EMPTY),SUCCESS
column,public,wm_waterbody_info,water_body_code,水体编码,(EMPTY),SUCCESS
column,public,wm_waterbody_info,remark,备注,(EMPTY),SUCCESS
column,public,wm_waterquality_day_records,status,状态,(EMPTY),SUCCESS
column,public,wst_asset_trace_snap,snap_node_id,吸附节点ID,(EMPTY),SUCCESS
column,public,wst_asset_trace_snap,snap_edge_id,吸附边ID,(EMPTY),SUCCESS
column,public,wst_asset_trace_snap,status,状态,(EMPTY),SUCCESS
column,public,wst_layer_river,id,主键ID,(EMPTY),SUCCESS
column,public,wst_layer_river,river_code,河流编码,(EMPTY),SUCCESS
column,public,wst_layer_river,river_name,河流名称,(EMPTY),SUCCESS
column,public,wst_layer_river,geom,空间几何数据,(EMPTY),SUCCESS
column,public,wst_trace_edge,source_asset_id,源资产ID,(EMPTY),SUCCESS
column,public,wst_trace_edge,from_node_id,上游节点ID,(EMPTY),SUCCESS
column,public,wst_trace_edge,to_node_id,下游节点ID,(EMPTY),SUCCESS
column,public,wst_trace_node,asset_id,资产ID,(EMPTY),SUCCESS
column,public,wst_trace_topology_issue,id,主键ID,(EMPTY),SUCCESS
column,public,wst_trace_topology_issue,status,状态,(EMPTY),SUCCESS
column,public,wst_trace_topology_issue,geom,空间几何数据,(EMPTY),SUCCESS
column,public,wst_trace_topology_issue,remark,备注,(EMPTY),SUCCESS
column,public,wst_trace_topology_issue,del_flag,删除标志：0-正常，1-已删除,(EMPTY),SUCCESS
